1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1691547247# #苦涩
1703138643# #转发微博
1694505200# #发布了头条文章：《李佳琦凉了？央视网点名批评其飘了，太空方便餐为你揭秘》李佳琦们别再飘了李佳琦称身上羽毛是所有女生赋予的花西子散粉贵过香奈儿李佳琦花西子李佳琦掉粉
1697008306# #早九打工人一样苦涩
1698737268# #苦涩
1687164669# #精彩，太精彩了挖鼻
1689563865# #人都不动了衰
1703819343# #老人坐车不付钱，竟还殴打车上众人！。。事情发生于广东，一老大爷上车不愿意付钱，与司机发生冲突，竟二话不说上去殴打司机。。。见老人年纪大，头发都花白了司机也没还手，只说要报警。。。谁知老人听后竟又动起了手，车上一老太太看不下去替司机说了两句话，这下可不得了了。老大爷又开始打起了老太太，还
1696284017# #发布了头条文章：《别被洗脑了，植脂末真不等于反式脂肪酸，太空方便餐为你揭秘》
1702632686# #肉厂员工将废弃猪肉卖给早餐店，淋巴做云吞，太空早餐营养有保障
1688720270# #都是用手扣个洞暴力撕开的苦涩
1692266008# #衰
1701423523# #11月28日，我国载人航天工程代表团抵达香港，将在此开启为期6天的访问港澳之行。。此次访问队伍由我国载人航天工程办公室副主任林西强担任团长，航天员刘伯明、王亚平、陈冬、张陆，以及我国载人航天工程系统相关领域专家陪同。。航天代表团们大都身着深色西装，而王亚平作为此行唯一一名女航天员，打扮
1701401878# #好讥讽啊
1690161250# #光限制全行业从业吗，不犯法吗？犯错成本太低怒
1694158707# #哈哈哈哈哈哈哈哈哈哈哈哈
1697003218# #哈哈哈哈哈哈哈哈哈哈哈
1695609646# #这家火锅店还怪负责任嘞。有的餐馆，别说临期了，就算真的过期了照样端上桌给顾客吃。听说有些黑心老板为了防止顾客吃拉肚子，还会在烹饪时放点止泻药。
1697535055# #成都咬人恶犬的主人找到了！！！。。成都崇州市联合调查组刚刚发布通报，黑色罗威纳犬的主人唐某于10月17日3时许到案，目前唐某已被依法采取刑事强制措施。。。看通报这个唐某好像是自己前去派出所认罪的，也算有点良心。。。看他养的好狗，把人家小女孩咬成什么样了，小女孩受伤的照片我到现在都不敢细看。
1689328538# #【后续：当地正为火场救人男子申报见义勇为】一小区居民楼发生火灾，退伍武警许亮冒生命危险徒手爬窗，将被困火场的孩子及时救出。据记者从当地宣传部门了解到，他们正与相关科室联系，只要符合申请见义勇为的标准，将尽快为救人男子许亮申请相关荣誉。
1693452405# #允悲
1700013806# #这么凶得吗？
1699580888# #有钱打赏还叫什么贫困生呀
1695890605# #居然还是抄袭霸总文哆啦A梦害怕
1703226706# #听说春晚也安排科目三了
1696911761# #处理结果来了！！！
1699497968# #这么有劲，还需要让座吗允悲
1701141407# #ip好笑翻倍了允悲
1694079904# #允悲
1696821506# #哆啦A梦害怕
1688008688# #铁饭碗，笑死笑cry
1688980541# #发布了头条文章：《云南旅游又出事！游客车上睡觉遭导游威胁：敢睡觉就停车睡醒再走》云南丽江旅游团购物团
1692257700# #这男的没毛病吧！。。一女子因儿子刚做完手术，想让其出行舒适些，于是跟儿子一起买了三个座位。。。让一个没座位的男的看见了，这下可不得了了，张口就骂，把孩子妈妈都骂哭了。。。还一屁股坐到母子俩的位置上，挤人家刚做完手术的孩子，真够不要脸的。。。母亲没办法，只好叫来乘警。但面对乘警，男子还一脸
1696900264# #？？？
1701915124# #挖鼻
1702276407# #。。。
1695029971# #上海地铁两男的因为抢座位打架，打得车厢满地都是血。。。据媒体报道，事情发生于9月17日，两个男的因为抢座位产生争执，随后大打出手。。。打得还挺凶的，血都溅出来了，把周围乘客吓得全跑了。。。看网友拍的视频，两人方圆五米内都没人呢，都躲得远远得录视频或者议论纷纷。。。打架的白衣男子，拽着另一个
1694678775# #好喜欢这种秩序感，安全
1703843431# #这老头可真够坏的！。。人家建新房，花了两万多在外墙上弄了个迎客松浮雕，瞧着栩栩如生。谁知老人心胸狭隘，见不得别人家过得比自家好，硬是拿着泥巴把人墙给抹了。。。据主人家说，老人不是第一次做这样的事了。。。她家建新房时，老人就经常过来偷建筑材料。。。目前，主人家已经报警。。。这老头，真是把恨人
1692342388# #眼睛要尿尿了苦涩
1688974398# #啊，和亲侄女汤姆
1693377038# #老师的命也是命
1687676619# #？？？
1703049974# #7位大妈横穿马路被撞的事情有后续了，大妈全责！。。不知道大家还记不记得常德7位大妈组团横穿马路的事情，几位大妈关系是真好呀，都不怕危险，几个人手挽着手、肩靠着肩的一起横穿马路。。。看监控视频这马路上车流还真不小，小汽车一辆接着一辆的疾驰而过，看着都害怕。。。但大妈们心里不怕，走起来格外淡
1703834976# #哈哈哈哈哈
1690781254# #转发微博
1691645377# #要我哭死苦涩
1697779023# #香港人平时都在忍这种服务态度吗！？？？
1703726339# #哈哈哈哈哈
1688003995# #不知道大家还记不记得去年那个在百日誓师大会上，演讲得声嘶力竭的女生。。。高考成绩出来后，有人开始造谣女生只考了300多分。。。造谣的人简直其心可诛，当年小姑娘只不过演讲时激动了些，表情没管理到位，就在网上到处喷小姑娘。。。如今高考分数出来了，还要造谣女生只考了300多分。还有好多网友信了，跟
1692927057# #太好了，我失败的人生不是我的问题就行
1695781741# #两个小畜生，学校老师也不作为
1701150784# #别说了，汗流浃背了
1691026322# #笑cry
1699841859# #还有小区业主反映，此小区常年来将物业费与其他费用捆绑，不缴纳物业费便不能缴纳其他费用；物业还和业委会同流合污，业主想换物业都换不了，苦不堪言！
1687746576# #因为一个张薇，现在四川大学也在全国扬了名，成为众矢之的。。。四川大学本来也是个双一流、985高校，因为在处理张薇上让网友普遍觉得处罚过轻，有遮掩之嫌，所以这段时间挨了不少骂。。。近日，北京一律所发文，称因此觉得四川大学治学态度不高，该校的毕业生品质难以令社会信服，所以决定不再招聘四川大
1694065900# #笑得我直打嗝允悲。道路千万条，安全第一条呀！！！
1688621771# #有没有素质呀，这种人应该被各大旅游景点永久拉黑
1687829187# #天呐惯犯呀这是
1704057182# #发布了头条文章：《一天租金350，上海网约车司机每天工作18小时仍攒不下钱评论扎心》
1690257536# #宁死不吃，小喵咪也是有骨气的
1690165152# #这大爷有毛病呀
1695699223# #我勒个豆，28号谁还分得清我和苏炳添
1703670244# #多大的矛盾呀，让丈夫朝妻子泼汽油还点火的！。。近日越南发生了一件极其恐怖的事件，一女子正在家中吊床上睡觉，她丈夫突然光着膀子从屋里走出来，手里握着瓶汽油，直接泼到女子身上。。。女子察觉后赶忙将汽油瓶打掉，谁知丈夫立马掏出打火机点燃被汽油浸湿的吊床。。。吊床瞬间燃成一个小火球，女子也霎时
1694402625# #那些与资本家共情，总是试图反思自我的人着实没办法理解
1699587413# #一个人占17个座，她是八爪鱼吗
1697532983# #发布了头条文章：《中国航天67岁！杨利伟：航天员正在为登月做准备，太空早餐助力》登月计划
1696988715# #笑拥咧
1690525807# #哆啦A梦害怕
1699238917# #允悲
1692883323# #避雷微笑
1693968260# #？
1695794626# #哆啦A梦害怕
1693452239# #赚这么多还偷税漏税
1689916069# #允悲
1693967015# #瑞幸加茅台华尔街跪下来。哈哈哈哈哈哈哈哈哈哈哈哈，笑死了！
1696906614# #坐等微笑
1701845836# #哆啦A梦害怕
1700209960# #我爱了，在哪买允悲
1688620106# #这不是家暴，这是故意杀人呀泪
1689584741# #这么严重
1695088953# #好多战地记者
1694491137# #怎么会有这么离谱的事情呀，未经家属允许把已逝人拉去火化，还轻飘飘来一句拉错了！。。近日，青岛一女子在网上控诉，称自己的丈夫在去世后被医院擅自拉去火化了。。。8月28日晚，女子丈夫突然肚子疼，被送去当地即墨中医院治疗。。。经医生诊断，其丈夫是患了胰腺炎。。。胰腺炎说严重也严重，但说轻也轻。。。
1698579465# #太阳妈妈的故事。现在小学二年级就开始校园霸凌了吗？。。一位名叫“太阳妈妈”的网友爆料，称自己二年级的女儿在校遭到17名女同学的霸凌。。。其女儿今年7岁，就读于湖南省娄底市某乡镇学校。2023年10月20日，正值午休，其女儿在学校操场遭到了17名女同学的霸凌以及性欺凌。。。四肢、腹部多处受伤，下体
1696755183# #微笑
1687771715# #发布了头条文章：《川大毕业生遭企业嫌弃，张薇却成了抢手货，2人向其递橄榄枝》四川大学张薇川大张薇北京一律所称不再招聘川大毕业生律所回应不再招聘川大毕业生
1696833698# #泪
1692695649# #发布了头条文章：《鼠头鸭脖成立新公司，张庭夫妇进军餐饮，太空方便餐捍卫食品安全》鼠头鸭脖涉事方成立新公司
1695111728# #发布了头条文章：《茅台把自己玩成料酒，咖啡、巧克力、大床房，太空食品期待新惊喜》茅台我和德芙官宣了茅台快把自己玩成料酒了
1699854038# #这是爷爷被孙子诈骗了允悲
1689643748# #我努力到达的终点是人家的起点苦涩
1692932640# #老双标啦
1700719243# #还能这样？？？
1689645868# #南京光头哥后续，被刑拘了，女孩牙齿确实被打伤了
1697183691# #我也是，给我一个亿我可以消失在互联网上
1695003539# #哈哈哈哈哈哈哈哈哈哈
1701142072# #说得好
1696667322# #发布了头条文章：《西安高校63页PPT后续，女方发声回应，网传两人已复合》西安外国语大学西安外国语大学丁玉婕
1698033410# #烤仙人掌是个什么味呀
1688094747# #上班让人疲惫
1690961100# #爱吃虾尾的人要注意，你吃的虾尾，可能是死龙虾做的！。。近日，有知情人举报，南京有两家批发市场专门收购死龙虾，涉嫌将其死龙虾加工成食品进行销售。。。据媒体报道，死龙虾大概以每斤一元多的价钱在出售，被收购后都运往安徽天长市一家熟龙虾加工合作社。。。合作社的工人表示，最多一天加工过5吨死龙虾
