1697015644# #真的假的？？？？？
1700103984# #中央纪委国家监委网站11月16日通报，据中央纪委国家监委驻国家税务总局纪检监察组、辽宁省纪委监委消息：国家税务总局国际税务司副司长李光辉涉嫌严重违纪违法，目前正接受中央纪委国家监委驻国家税务总局纪检监察组纪律审查和辽宁省辽阳市监察委员会监察调查。
1692364578# #华为天才少年稚晖君首秀：首款人形机器人亮相，上得厨房入得工厂，成本价不到20万元|Future
1698375240# #9个阿拉伯国家发表联合声明，谴责以色列对巴勒斯坦人实施“集体惩罚”
1695090142# #评论者讨论，它到底算不算中国企业。145亿元，阿里巴巴宣布土耳其投资计划
1699623931# #以后应当把这种证件电子化。打拐志愿者又曝佛山一医院涉嫌贩卖出生证，该院妇科产科已停诊
1690886227# #那户不知道它是一头驴，殖人走线润美代表之一:香蕉哥
1690882214# #东南大学教授复现「常温常压超导」全流程：无超导，弱抗磁
1702176318# #转发微博
1700793240# #广东省人民检察院党组成员、副检察长黄黎明接受纪律审查和监察调查
1692760957# #打击整治养老服务领域诈骗典型案例
1702560090# #吴敬琏于1954年毕业于复旦大学经济系政治经济学专业；1954年—1984年历任中国科学院经济研究所（现中国社会科学院经济研究所）研究实习员、助理研究员、副研究员、研究员；1979年—1983年任中国社会科学院经济研究所副研究员；1983年任中国社会科学院经济研究所研究员；1983年—1984年在美国耶鲁大学经
1691986256# #警惕！这些与汛情相关的谣言不可信。2023年08月10日17:45|来源：人民网小字号。人民网北京8月10日电连日来，各地区和有关部门充分发动各方力量，全力以赴开展防汛抗洪救灾工作。但是，个别网民却为博取关注、吸引流量而故意编造、发布谣言信息，混淆视听、误导公众。人民网“求真”栏目整理了近期与汛
1700532367# #缅甸民族民主同盟军称将进攻果敢老街：请滞留华人尽快撤离以免误伤
1701001924# #网传柳州市政府秘书长跳楼，官方回应：系谣言，正在处理
1695565813# #天门山假警察打人岂能一拘了事。许多人都说，天门山不敢去了。为啥？。最近，据极目新闻等报道，有游客在湖南张家界天门山被身穿警服的人殴打出血，事后警方通报，穿警服者并非真警察，而是企业派出的保安，最后被拘留。。这件事的处理结果引起大家的强烈不满，关键的问题是，警服是谁都可以穿的吗？像警
1698630644# #伊朗总统警告：以色列越过了红线，这可能迫使所有人采取行动
1691738114# #移英港人哭诉：越来越讨厌英国的所有事，想回香港又害怕被抓
1699535239# #哈马斯代表团将访问北京？外交部回应
1703993524# #转发微博
1698416071# #所有的问题，归根到底，都是人的问题！。崇州恶狗伤人今天中午散步时，听一位路人美女说，她家的狗真可爱。这是她与她的同伴聊天时说的，而且带着满满的幸福感。我听了之后，都觉得从她的语气里透出的那份真实和可爱。其实，说真话，在可控的情况下，狗真的是可爱的，它通人性，明白主人的意思，跟主
1700016962# #亨凯：此次缅北冲突，缅甸主流社会对民地武的观感在发生转变
1698032559# #美国底特律一犹太教堂董事会主席被刺身亡，警方：尚不确定凶手动机
1702432226# #人民网北京12月13日电（记者李楠楠、马昌）记者从最高人民检察院获悉，陕西省人大常委会原副主任李金柱涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对李金柱作出逮捕决定。该案正在进一步办理中。
1699882720# #看来苏纳克还可以多干一段时间，并非短命首相啊。卡梅伦回炉任英国外交大臣，内政大臣因“口嗨”被裁
1698503385# #当前，中美互动增多，比如我们的外长受邀赴美，美国的加州州长来中国转转，还有之前美国的各路神仙，比如国务卿、财政部长、商务部长，还有企业家们，都来中国探路。由此可见，中美的确有相互接近的迹象。。但，我们必须看到，美国在极力地表现出要与中国接触，要与中国合作的同时，却在多方面继续以前
1700645999# #转发微博
1700016157# #中美两国发表关于加强合作应对气候危机的阳光之乡声明
1691223679# #转发微博
1700537125# #德州仪器已裁撤中国MCU团队：变相逼迫员工主动辞职
1697767651# #“公安局都是俺家开的”？新乡警方：当事人称是随口说的谎话
1690531614# #那英出席活动被采访时发飙？
1703252965# #中共中央政治局召开专题民主生活会习近平主持会议并发表重要讲话
1696944598# #恒大地产等被强制执行7亿恒大地产累计被执行超530亿
1689341708# #这样的艺术家，他心里想什么？
1690438893# #转发微博
1697545977# #四川崇州再通报“女童在小区遭恶犬围咬”：黑狗主人被采取刑事强制措施
1690947323# #转发微博
1701337417# #辽宁省政协原副主席孙远良一审被控受贿超1.8亿元
1701617691# #北约秘书长：要为来自乌克兰的坏消息做好准备
1697783944# #中石油通过上海石油天然气交易中心达成我国首单国际原油跨境数字人民币结算交易
1692018189# #不顾妻子反对男子用房款炒股亏70余万，法院：严重损害夫妻共同财产
1692869482# #洪马内在宣誓就任柬埔寨首相后的第二天（8月23日）
1699512504# #美国明尼苏达州最高法院裁决特朗普仍可参加2024年该州共和党初选
1703923855# #地狱难度的大凉山扶贫，第三阶段攻坚战的任务是教吃饭
1698680235# #据红星新闻报道，济南有个网名叫“泰山麦兜巴顿”的网友在多个平台发帖炫耀其在位于济南市中心的历下区某小区饲养三条大型犬，且这三条狗还曾吓过同小区居住的孕妇，更嚣张的是，他还宣称把人家丈夫打了，结果也没事。该网友表示派出所曾经上门抓狗，物业社区都曾想介入，但是最后“该怎么养还怎么养”
1689255500# #一定要警惕，并在必要时果断出手！因为，当年他们也是这样跟俄罗斯说的，我们无意东扩，现在都要东扩到亚洲，如果中国还是当年的中国，早把中国吞了。现在他们在等机会，我们绝不能给一点机会！。中方发出警告，美方称“无意邀请”亚洲国家加入北约
1698680602# #菲律宾是不是又在欺负我们。菲律宾护卫舰非法闯入中国黄岩岛邻近海域，南部战区：依法拦阻管制
1692614738# #就在全国上下为民营经济鼓与呼的时候，中国民营经济的两大巨擘却接连出事。。。一是恒大传出要到美国寻求破产保护，为了加强保护，许家印的妻子身份改变，好像二人离婚了，而债务20000多亿的恒大老板许家印在去年被曝光在伦敦花费2亿多英镑买下豪宅。。。二是同为房地产企业的碧桂园，最近也是因为债务问题
1698420439# #10月27日，华为公布2023年前三季度经营业绩，实现销售收入4566亿元，同比增长2.4%，净利润率16.0%。以此计算，华为今年前三季度净利润为730.56亿元，已是去年全年356亿元的2.05倍。
1689256237# #转发微博
1693536544# #这货还活着没
1695213479# #没人查查吗
1703924702# #越南2023年GDP增长5.05%，未达设定目标6.5%
1697090685# #知名教授郑强回应被举报：信息不实，已向警方报案
1700579757# #阿根廷新当选的总统都有哪些激进主张？。11月19日，1970年出生的哈维尔·米莱（JavierMilei），这个被称为阿根廷版特朗普的人，以55.95%的选票获胜当选为新一任阿根廷总统。他本来是阿根廷很知名的经济学家，从政之路也只是在2020年加入自由前进党开始的，2021年他当选为阿根廷国会众议员。也就是这样一
1692703992# #关于促销费，我这是真心话。这个要准确研究。关键是大家觉得口袋有点空，有点余钱，还要准备养老和医疗。还有教育等等！。。我说的要研究，就是国家要精准分析，第一，要把目光盯在富人身上，让他们少出国旅游多国内旅游，比如在全国多买海景房大别野，就是让他们多消费，他们动动手指，得抵成千上万农民
1691905529# #这可咋整？。妻子实名举报医生老公每年药品回扣十几万，官方回应
1693391010# #国内偏远旧京山暴力执法，对动作迟缓女性才用跪压方式，不文明
1696347639# #转发微博
1696827906# #我刚刚在“10月会员抽抽乐”活动中抽中了【15天微博会员】！官方福利，100%中奖，快来试手气！！&gt;&gt;
1690549848# #如果美国经济不衰退，说明美国割韭菜大获成功！。美国二季度GDP大超预期，但真正考验在下半年？
1699446904# #针对外媒的一再造谣，中国企业应当拿起法律武器。被要求收购碧桂园并承继其债务？中国平安紧急否认
1693831706# #是哪个企业，特斯拉还是苹果，或者间谍公司。雷蒙多警告中国美国企业的耐心“正在消失”|联合早报网Weibo
1690700511# #盘点全网男人默契的统一回答，娶媳妇的最大好处是什么
1703686756# #非法收受财物1.66亿余元！河南政法委原书记甘荣坤一审被判无期
1691744602# #有家国情怀，敬佩！。曹德旺找到校长了：中科院院士梅宏任福耀科技大学校长
1693640896# #普京“开学日”演讲：俄罗斯所向无敌，今天依然如此
1699769035# #不合格！让B太都头疼的大连“鬼秤”检测结果出炉，官方：已立案调查
1704189993# #“我们很现实地认识到，2024年期间，四个QUAD成员国中肯定有两个，甚至可能有三个要举行重要选举，这很可能会对会议日期产生影响。”澳大利亚卫生和老年护理部长马克·巴特勒2日说，“这是四个志同道合的国家之间的一项非常重要的安排......我们非常有信心，这些安排仍然非常非常有力。”。乍一看，还以
1701680316# #马尔代夫总统：印度已经同意撤军，将确保领土上没有外国军事存在
1698279501# #现在都不想看巴以冲突的新闻了！为何，因为巴勒斯坦太分裂，阿拉伯世界太分裂，ysl太分裂，否则，一个小小的以色列，哪能那么嚣张，怼美国怼中国甚至怼上联合国！。以色列是美国的爹，我看他还想做全世界的爹！任何一个有判断力的人都在想，如果任由以色列如此得逞，这世界还有公理正义吗？占人土地，杀
1689417315# #转发微博
1692502675# #美媒尴尬发现：没有“国产保护月”，好莱坞电影也打不过中国电影了
1697704693# #痛惜！。上海失联女童遗体跨过杭州湾被寻获！曾独自被留在海滩上玩耍
1692944057# #就看这些部门到底对谁负责？。。“北极鲶鱼”事件核查5个月没结果？深圳相关部门最新回应
1697529836# #欠债的都跑美国了，这个漏洞能堵吗。知情人士称威马董事长沈晖和家人已迁居美国，有专人帮其在国内发微博
1698498173# #转发微博
1698287878# #美国共和党议员迈克·约翰逊当选众议长，美媒：140年以来从政经验最少的议长
1695345949# #儿子监狱服刑，母亲骗领国家工资41万，局长挪用资金且知情不报
1703686313# #这种拍脑袋就决定别人生存的事情绝对不能再发生了，制造矛盾，制造对立，就是明显的恶。石家庄一菜市场因大气污染停止面条煎饼加工？官方：通知已被废止
1699076938# #驻中央外办纪检监察组组长撰文：防范化解对外工作领域风险
1698821752# #美国和以色列被曝开始谋划加沙的“后哈马斯时代”，考虑部署多国部队
1700902010# #“稻香村”被老字号“除名”？真相是
1702719673# #12月16日，商汤科技官方微信公众号发布讣告，公司创始人、人工智能科学家、浦江实验室主任、上海人工智能实验室主任、香港中文大学教授汤晓鸥因病救治无效，于2023年12月15日23时45分去世。
1700024427# #也许只有渐冻人自己才能体会其中的痛苦。也因为这个病的发病率极低，造成药物研发缺乏动力。但愿有机会获得新突破吧
1695346496# #特朗普长子发帖称父亲去世，随后称账号被黑
1692164861# #云南一女大学生疑似被贩卖并将送出境？社区回应：失联多日，已报警
1701316280# #　中央纪委国家监委网站讯据湖北省纪委监委消息：湖北省委巡视组原副组长明军涉嫌严重违纪违法，目前正接受湖北省纪委监委纪律审查和监察调查。
1700624662# #广州新挂牌宅地恢复“价高者得”成首个取消地价上限一线城市
1691850093# #医院院长贪腐细节：与药商交往“合作”，将成捆的现金提回家，一般20万元一捆，藏在沙发下衣柜里
1703840118# #不错，都在等着下一代，真不愧是同文同种
1702872724# #转发微博
1697529301# #观察：以色列人李春红被“起底”是潜逃的公派留学生~~
1695128611# #为何屡禁不止，源在惩罚力度不够。山西忻州三人自导自演殴打老人视频，网警还原真相
1696828687# #中国光大集团原党委书记、董事长李晓鹏被“双开”
1692858278# #文章的评论揭露了很多真相。苹果、台积电等芯片巨头，联手制造“纳米谎言”？
1694699161# #深圳官方回应“北极鲶鱼事件”不予公开结果：会登记反馈
1691398725# #转发微博
1703161118# #法国补贴新规将中国车排除在外，商务部：严重关切
1691744251# #乌克兰宣布在黑海建立“人道主义走廊”，挑战俄罗斯封锁
1699349191# #卫生院医生工作群问“啥时候发工资”被院长胞兄威胁，院长及卫健部门回应
1690271056# #美企公布最新卫星照片：中国援建柬埔寨海军基地接近完工
1690353641# #运油-20与歼-20歼-16编队低空通场
1697810757# #朝青岛啤酒麦芽上尿尿，真讲究！。。之前有人就告诉我说，网上流传有人在青岛啤酒三厂的麦芽原料上尿尿，并被录了视频传到了网上。当时他告诉我说，这个啤酒公司的人怎么这么自己糟践自己。我当时就说，等等吧，等子弹飞一会。晚上再看新闻，。针对10月19日网上出现的青岛啤
1691511596# #奥运大户美国队捧着一块金牌回去了，接下来，我很担心，THEY会不会留下什么？。103金40银35铜收官！中国代表团创大运会历史最佳成绩
1697682336# #实名举报县属国企负责人后，山西一女老板被打，当地纪检部门回应
1695825395# #民政部派出调查组对中华少年儿童慈善救助基金会开展全面调查
1701224470# #张春林任山西省委副书记
1694866053# #印象:。看微博热搜话题，有中国女子最近去泰国旅游，被绑架敲钱。据悉，这个嫌犯不是别人，还是一个中国人。这个人与该女子通过网约喝茶，然后将其绑架，幸好该女子比较机灵，趁着绑匪下车与撞车者理论时逃脱。真可谓不幸中的万幸。如果她按照该嫌犯的要求交了赎金，估计性命也难保。。。现在，知道这个嫌
1695466847# #东帝汶总理在浙江工商大学演讲：霸权主义是造成全球混乱的主要原因
1700922816# #现在，美国和西方都认为，俄乌冲突虽然没有对俄罗斯造成致命伤害，但也打击了俄罗斯，并进一步加速了北约的东扩，芬兰的入约就是西方的胜利。同时，通过这次冲突，更加加深了俄罗斯与欧洲的分离，猜忌加深，仇恨加深，要弥补这样的裂痕，估计需要几代人的努力了。。另外俄罗斯所受到的制裁也将让俄罗斯
1699012670# #巴勒斯坦电视台主持人和记者在直播时崩溃：我们的同事，半小时前还在这…
1702430442# #卡梅伦会见黎智英之子，我使馆：强烈谴责英方恶劣行径
1692865538# #这这这不是说发生在中国吗？天哪，原来在美国！。那些造谣的就不怕被法办！。【纽约法拉盛，警察缴地摊，1000美刀大罚单，华人小贩拼死反抗】。西瓜视频)。
1701614496# #转发微博
1692684408# #滥权妄为、道德败坏！江西高校出版社原社长邱少华被开除党籍
1700054689# #俄印将联合生产无人机
1702906294# #蔚来宣布获阿布扎比CYVN新一轮22亿美元战略投资
1690530296# #有创意！。掏空家底支援乌克兰！德国讽刺短片《泽连斯基万岁》网上疯传
1701423614# #中央民族大学党委常委、副校长田琳接受审查调查
1692760096# #云南多地警示“境外高薪务工”凶险：像“猪仔”被转卖，赎金达上百万
1691904447# #如果是水泥钢筋建筑，不会这么脆弱吧。中国游客亲历夏威夷野火：知名景点80%被吞噬，数万人从岛上撤离
1695302829# #绝对不是高通的胜利。高通被曝在华大规模裁员
1703515833# #　涉嫌欺诈发行证券罪，紫晶存储实控人及一致行动人被批捕。界面新闻消息，12月25日，已在新三板的R紫晶1（原紫晶存储）近日发布公告称，经公司向梅州市公安局了解，根据相关规定，实际控制人郑穆、实际控制人一致行动人罗铁威涉嫌欺诈发行证券罪，被采取强制措施。上述二人现羁押在梅州市梅县区看守所
1698726566# #以色列军队深入加沙，以色列总理：不会在加沙地带停火
1696737773# #李显龙警告：不要把“一个中国”问题看成是“民主与专制”的对决，否则将非常危险
1701321891# #我看有人说基辛格改变了中国。。中美关系的改善的确为中国的改革开放创造了必要的条件，也为中国逐渐融入世界经济体系创造了有利条件。但中美关系的改善真正的谋划者启动者是中国，是中国的教员，而非别人。基辛格是中美关系半个世纪以来的见证者，亲历者，执行者，但不是推手。正是因为他比较全面地执
1690897898# #“AI抢饭碗”引发17.5万人大罢工背后，好莱坞的结构性顽疾
1691586098# #涉案近3千万的中山一医院院长被抓后，该院人均就医成本降1400余元
1696828431# #原中国中化集团党组成员、副总经理杜国盛接受审查调查
1701959765# #陕西省人大常委会原副主任李金柱被开除党籍：搞“七个有之”
1702271354# #中央纪委国家监委网站讯据中央纪委国家监委驻交通银行纪检监察组、辽宁省纪委监委消息：日前，中央纪委国家监委驻交通银行纪检监察组、辽宁省纪委监委对交通银行沈阳审计监督分局原局长刘喜昌严重违纪违法问题进行了纪律审查和监察调查。。。　　经查，刘喜昌违反政治纪律，转移、隐匿证据对抗组织审查
1689341759# #转发微博
1692183200# #俄媒：消息称英国情报机构已成立一支由乌克兰人组成的非洲破坏小队
1690899355# #转发微博
1695302904# #被控受贿1647余万，国家粮储局原局长张务锋当庭认罪悔罪
1700724310# #少了36万！连增8年后，考研报名人数降了
1697787687# #转发微博
1695608789# #玻利维亚前左翼总统莫拉莱斯宣布参加2025年大选
1690549549# #上市公司股东离婚被质疑涉嫌“绕道减持”，证监会回应
1703945798# #南非向海牙国际法院提起诉讼：以色列在加沙违反《防止及惩治灭绝种族罪公约》
1702461352# #今天是纪念南京大屠杀的日子，当年日本鬼子在南京就屠杀了30多万手无寸铁的中国居民，其滔天罪行，罄竹难书。。。在中国14年的抗日战争期间，中国平民则约有900万死于战火，另有800万平民死于其他因素，9500万人成为难民。中国抗日武装最少伤亡4668523人。。。据统计，在抗战14年的期间，日军在中国掠夺了8
1690377079# #西点军校毕业的红马内会把柬埔寨带向何方，值得关注！。柬埔寨首相洪森宣布辞职，其子洪马内将出任首相
1693450340# #普京的战术很奏效我心里着急嘴上就是不说你以为我求你我偏偏让你找不到嘲笑我的理由。德记者爆料：普京在通话中毫不关心西方制裁，令朔尔茨震惊
1697637955# #“现在有员工四代都在茅台了”，网友翻白眼不合适！！！。据澎湃新闻报道，10月18日，在沪市公司高质量发展集体路演现场，贵州茅台副总经理、财务总监、董事会秘书蒋焰在谈到她对茅台的爱时说，茅台的员工离职率只有万分之三，现在已经有员工四代都在茅台了。。不过就在这个新闻的下面，却看到一众网友的
1692976051# #中微公司剔除三名美籍核心技术人员！
1689746951# #高盛的报告预测，如果经济维持目前的增长速度，到了2075年印度国内生产总值GDP将升至52.5万亿美元，超越美国的51.5万亿美元，仅次于中国57万亿美元的GDP，排名全球第二。。。高盛预测的前提是维持目前的经济增长速度，但是这个增速能维持吗？高盛预测印度经济规模2075年超过美国？想多了！
1695352814# #任正非：美国的先进文化还是要学习，从来没有说“打倒美国”
1699536524# #消息人士：哈马斯以色列正在谈判
1699406110# #起底襄阳“涉嫌贩卖出生证明”院长的生意版图
1697284297# #多名纪检干部同日被查！
1693032715# #国家体育总局冬运中心党委书记、主任倪会忠接受审查调查
1700499197# #转发微博
1689256606# #转发微博
1697546585# #大家是不是都在例行公事?。日本领导人向靖国神社供奉祭品，我使馆：坚决反对
1703506078# #转发微博
1692762306# #合肥：总部企业将上市主体迁入合肥的，一次性奖励300万元
1691386660# #疯狂离灭亡很近
1693366785# #中央统战部原副部长、国家宗教事务局原局长崔茂虎被双开
1699670388# #广东卫健委党组书记、主任朱宏主动投案，正接受纪律审查和监察调查
1697187097# #中国到处都是危机，生多了是危机，生少了也是危机！其实，这么大的中国，我觉得6亿人就可以了！。我国去年出生人口956万
1700139045# #转发微博
1692543848# #司马南：谁拿了辉瑞的钱?请你们不要躲猫猫了
1689694350# #转发微博
1695459662# #美国海外“黑狱”调查丨阿富汗前巴格拉姆监狱服刑人员亲述非人遭遇
1692262797# #河南省第二人民医院党委书记何平接受纪律审查和监察调查
1691335201# #舒兰市副市长骆旭东等3人因公牺牲
1691844183# #大家怎么看
1704038167# #千万不要唤醒蛙蛙、三哥和棒子，谁唤醒了他们，谁就是坏人。让他们继续自(｡･∀･)ﾉﾞ嗨，对我们有利。
1695302617# #转发微博
1696777300# #这小伙告诉我们，雷锋真傻！。。看看下面这个微博内容，我相信许多人都支持小伙子，他买的是火车下铺，干嘛要让给买上铺的大妈？你让我换，我就是不换，不行你咬我，不行你告我！我就是我！一个精致的利己主义者！。。对于我们70年代生人的人，小学和初中都是在学雷锋的氛围里度过的，那个时候，我们喜欢雷
1695898540# #紫光集团原董事长赵伟国贪污、背信损害上市公司利益案一审开庭
1692115109# #四川一医院院长无论金额财物大小照单全收，敛财超2千万
1700732410# #阿根廷将切断对华关系？阿根廷准外长：不可能，毫无逻辑
1701310033# #基辛格去世了他的时代结束了
1692975683# #中微公司剔除三名美籍核心技术人员！
1690536014# #奇葩了！新疆棉事件与社会公共利益没有关系吗？。至今还因新疆棉事件而受到制裁受到伤害的中国产业和产业工人以及因此而受到影响的中国全体人民的利益不是社会公共利益吗？。据正观新闻消息，因阿迪新疆棉事件泡泡玛特推迟联名被判违约，焦点之一是，无论是仲裁委，还是后来的法院裁决，都认为阿迪拒绝新
1698893306# #日本开始第三轮核污染水排海
1701617706# #美国三位“中国通”发文呼吁赖清德“冻结台独党纲”
1691399536# #转发微博
1689341486# #转发微博
1698908001# #人民网北京11月1日电（记者李楠楠、马昌）记者从最高人民检察院获悉，国家烟草专卖局原党组成员、副局长何泽华涉嫌受贿、利用影响力受贿案，由国家监察委员会调查终结，经最高人民检察院指定，由辽宁省大连市人民检察院审查起诉。近日，大连市人民检察院已向大连市中级人民法院提起公诉。检察机关在审
1697728161# #首度超过欧元，人民币成为SWIFT系统第二大结算货币，欧元失去光环
1698324477# #日本预计于11月2日开始福岛核污染水第三轮排海
1696131303# #穆伊祖当选马尔代夫新一任总统
1693139794# #四川两男子用“活泥鳅”钓鱼被判刑
1692678326# #中美洲议会批准中国成为常驻观察员
1694777188# #图灵奖得主：中国超算能力可能超过了所有国家
1690553900# #还是网友说得对此时毫无意外的，西方人在已经在筹划针对覃海洋的卑鄙无耻的伎俩了，准备好应对措施，不要让孙杨的悲剧在覃海洋身上重演。破世界纪录！覃海洋三夺世锦赛蛙泳冠军
1697169797# #这才是大国担当铿锵有力。王毅：巴勒斯坦问题症结在于一直没有还巴勒斯坦人民一个公道
1699111416# #加沙卫生部门：目前仍有2200人被掩埋在废墟中，包括1250名儿童
1699005243# #这评价还有待澳方日后去实践吧。澳大利亚总理阿尔巴尼斯将访华，外交部：具有承前启后继往开来的重要意义
1702611941# #在那只靴子落地前，这只靴子先落地，好。商务部：认定台湾地区对大陆贸易限制措施构成贸易壁垒
1689417100# #错错错，发错了
1698893952# #美国要求恢复移交属于法塔赫的税收收入，以色列财政部长拒绝
1703836298# #最高人民检察院依法对董云虎决定逮捕
1699793658# #转发微博
