1698541152# #有梦想的人了不起
1693900432# #研究称电噪刺激大脑可助学数学研究人员发现，对大脑前额部分进行电噪声刺激，可以提高那些在接受刺激前大脑（对数学）兴奋性较低的人的数学能力。
1693669087# #转发微博
1694743147# #转发微博
1692077547# #安康亲水广场好多鸽子第一次喂鸽子之前好怕他们在我手上diong我不过没有！他们的嘴巴好像在帮我的手掌心按摩一样嘻嘻安康。还有一只求偶的美丽鸽子，太可爱了！！8K镜头带你看遍大美中国
1698507814# #孩子上学。老公出差的快乐谁懂。浪漫的人。大抵都有自己的乌托邦
1703342237# #故意做高雅，实则是钓鱼
1697178878# #河南人的朴素乡村生活，大家猜猜他们干嘛去？河南
1694016655# #三只羊集团东部中心开业三只羊集团东部中心今日开业，位于安徽省合肥市瑶海区，今年预计营收可达15亿元！
1701741070# #丁当为五月天发声丁当是干嘛的？对她还真没啥印象
1699597699# #11月8日，河北。女子网购一件羊毛大衣到货试穿后，调侃：“大家好，我是座山雕”，网友：你最好不要碰到打猎羊毛大衣
1698538856# #新娘出嫁，婚车路过去世父亲的地方，新娘跪地哭了很久，让人泪目…
1692715873# #陕西煤矿事故遇难者家属发声【陕西延安新泰煤矿事故致11人死亡，死者家属：想见我爸最后一面，但被阻拦在医院】陕西新泰煤矿事故致11人死亡据陕西省延安市应急管理局消息，8月21日20时26分，延安市延川县新泰煤矿发生一起闪爆事故。经核查下井90人，升井81人，9人被困井下。升井人员中有2名重伤人
1698577414# #顾客不喜欢吃豆芽，把豆芽都捞出来摆了一圈，网友：善良的食客，救了豆芽
1690770898# #转发微博
1686966273# #吉林身边事【吉林市交巡警七项便民执法不处罚！】近日，吉林市交巡警七项便民执法措施，急人民之所急，本着以人民利益至上，以人为本，更便民更理性化管理，对视频中说述的7项不予处罚！
1687186065# #【长春警方联合打掉犯罪团伙涉案资金超9亿元！】6月18日，吉林卫视新闻报道，长春市公主岭。长春市警方联合公主岭警方打掉新型支付套现团伙，涉案超9亿元。
1701157274# #连夜给孩子下载个反诈中心app吧！。零花钱“过期”孩子很崩溃！咋都是“过期”的！终究是吃了“没文化”的亏
1696595108# #上海失踪4岁女童母亲发声我一个人的力量有限，大家帮忙转发下，早点找到孩子吧！
1703497162# #网友爆料：安康江北大道新开的塔斯汀汉堡店，刚开业就拖欠工人装修款，这样的店生意能好吗？
1697175935# #近日，中国亚运男子马拉松金牌得主何杰回到家乡，家乡政府奖励住房一套！
1701346905# #这年头，还能让俺为“媒体人”三个字感到温暖而骄傲的事，真的不多了鲜花
1698480394# #【童真！8位小学生课间围成圈认真下围棋酷】10月26日，陕西咸阳。孙校长在课间偶遇一群孩子围着圈趴地上玩，有男孩也有女孩非常开心，好奇走近才发现孩子们在下围棋，孩子们发现校长后也礼貌问好，笑容里满是天真无邪。孙校长称，当时大概有七八个孩子一块儿玩，自己看见这一幕觉得很美好，孩子间
1696596493# #蔡徐坤工作室时隔三个月再营业音乐生的就业现状裂开裂开裂开
1693211184# #转发微博
1687511664# #女子边玩手机边过马路造成三车连撞，女子往后看了下，一脸淡定继续玩手机离开……
1688430277# #转发微博
1696302774# #转发微博
1699632508# #这年轻人眼神真好，开车不开灯就能开车呢～
1700476472# #致敬英雄
1688523326# #【00后戴耳机跳广场舞化解噪音扰民酷】近日，浙江宁波。网友晒出一群00后戴着蓝牙耳机跳广场舞的视频引关注。厉先生介绍，这是一个舞团，成员基本都是00后。考虑到蓝牙耳机可以化解噪音扰民问题，大家就尝试戴着蓝牙耳机跳广场舞。一开始用各自的手机播放音乐，但是存在音乐不同步的问题，后来使用
1702104540# #关注下
1700202032# #男子偷偷穿老婆丝袜被拍！原因竟是天冷没买秋裤。“穿上是真的暖！”
1695648294# #看到这种无助的时刻，庆幸生在没有战争的国家！
1701102500# #骑无牌电车一男子被交警拦下，弃车而走说“我要上班”
1701929652# #结婚现场新娘捧花给了意想不到的人，小孩：你看我双手插兜有对象吗？“伴娘们是真的没人抢啊”婚礼搞笑
1699368195# #11月4日（发布时间），新泰中学。学生“手提班主任”上台领奖，“班主任还是折叠版，还能鞠躬”
1699597905# #女生这样的要求高吗？？？男人又是什么要求呢……
1689654403# #中午咥一碗面，没看面条咋样？
1700380753# #11月19日，江西抚州，网友爆料，南丰县发生房屋垮塌。事发地一商户表示，事情刚好发生在自家对面，是一多层楼在维修时候发生事故。当地应急部门表示已到场处置，详情以官方通报为准
1697178670# #巴勒斯坦老人看到自己家被以色列空袭摧毁，面对一片狼藉，掩面哭啼从废墟中捡出两袋自己物品。
1698483820# #河南女子举报村书记，强迫与自己发生关系长达7年，官方回应：县镇两级已经开始调查。
1703207221# #【学校回应男生校内殴打女友：警方已介入】12月19日，网曝四川成都师范学院一对情侣起冲突，女生在校内被男生挥拳暴打。视频显示，女生与男生发生争执，男生突然起身挥拳击打蹲在地上的女生。20日，成都师院保卫处工作人员称，二人是情侣，发生纠纷进而吵架。女生已被家人接回家了。目前，警方已介入
1696770550# #我们的社会已经开始面临严重问题，严重到忠诚、守信、孝悌、守规矩的孩子，90%到社会上会吃亏。。。——钱文忠
1686895949# #【老人看众人吃席男子为老人端烧鸡】老人蹲在墙边看众人吃饭，眼神让人心疼，好心人注意到后，为老人端去烧鸡，大哥这一举动温暖人心，为他们点赞每日一善
1687690810# #医院内有车辆违停，保安淡定操作“挪车神器”打工人打工人
1700964651# #学术现场女子高喊“白嫖我14年”，并大闹全国学术会议现场，涉事制药公司：完全是员工个人纠纷。（制作：喻义昌）
1700633500# #朋友聚餐时带了一条超显眼的金项链结果朋友掏出了一块磁铁网友：链子是铁的友情是塑料的
1702550701# #小情侣不顾危险在马路中间亲热，司机怒斥：你们是学生吗这像话吗？
1687491738# #转发微博
1696772426# #【长庆第一采油厂侯市作业区污水管线破裂，导致当地村民林地污染】2023年9月28日，延安市志丹县侯市便民服务中心王南沟行政村闫洼村小组的长庆采油一厂侯市作业区污水管线破裂导致该村三户村民林地以及该村村小组部分林地大面积污染。据了解，长庆采油一厂侯市作业区区域内连续两天发生两起污水泄漏事
1699367883# #11月7日（采访时间），打拐志愿者暗访发现襄阳健桥医院卖出生医学证明，目前院长被公安带走（上游新闻记者沈度）
1695539845# #黑龙江【K7066火车上暖心一幕…】9月23日，黑龙江一绿皮K7066火车上，一大爷因夜深并路途远而躺地睡觉，两位热心女孩主动出钱想为大爷买卧铺，最终大爷还是选择了坐硬座到家。
1695910531# #【学校开家长会统计家长学历并让举手校方：老师言论不合适会去调查了解】9月27日，山东日照，网友发视频称，参加家长会，老师让家长举手统计学历，问统计完后说家长学历普遍水平低。9月28日，涉事河山实验学校回应称，现在学校的学习不光是在学校学，学生回家还要巩固学习，统计的目的也是摸一下家
1694140196# #长春身边事【一朵最美丽的小红花！】小朋友上公交车刷卡，发现卡里余额不足，正转身离开时，公交司机师傅帮小朋友投币。小朋友为答谢公交司机师傅，奖励司机师傅一朵小红花🌸有网友说:小朋友不只人像小红花一样美，心灵更美话筒
1687074556# #宋佳居然这么高我的神奇男友………
1687087190# #什么工作实习工资能破万【男生实习工资1万4妈妈仰天大笑】近日，福建福州。网友晒出妈妈听到弟弟实习工资后乐得仰天大笑。吕女士介绍，弟弟今年23岁，正在大四实习，还要在船上写论文。弟弟的实习工资大概是一个月1万4千元。妈妈觉得就像意外收获一样，特别开心。妈妈将姐弟俩培养到大学毕业很不容
1700897938# #马云减持套现，只是实现几百个小目标；强子如果不眼盲，也就不会出那档子事嘻嘻
1699631219# #女子出租屋内生产用修眉刀自断脐带，男友下班发现女友已经昏迷，地上还有个能动但不哭的女婴，目前，母女俩恢复良好，已康复出院
1686969837# #【女子手机被盗后补卡恰遇小偷，当事人：买彩票都没有这么好运】6月15日，湖北黄冈，一女子手机被盗。到手机店补卡时恰巧遇到刷机小偷。当事人付女士称：去手机店补卡的时候，看到前来刷机的男子比较眼熟就多看了两眼，因为自己手机颜色比较特殊，看到对方掏出自己手机，就上前将手机夺了回来，报警
1701154814# #食客吐槽带娃去海底捞看到科目三很不适：“这种事情为什么会火？”你觉得服务员跳科目三是创新还是辣眼睛？科目三
1693799482# #天津大爷已经没空跳水了天津大爷跳水火出圈了，牡丹江大爷表示不服，勇闯镜泊湖瀑布。good
1702085413# #大户人家
1699074500# #转发微博
1698062052# #转发微博
1696592021# #“共和国勋章”获得者中国工程院院士“钟南山”
1695816763# #西安1985年建设的陕西省政府大楼西安超话
1693802123# #【逃出缅北的杀猪盘屠夫揭秘杀猪细节】。。河南洛阳的郝振东因生意负债200万，为求翻身在亲戚的介绍下偷渡到缅甸打工，结果上班的第二天却拿到4本杀猪盘手册，上面有精聊、细聊、开场白、土情话、造梦等内容，7天就能让受害者爱上他们。。亲眼见证了杀猪盘的残忍与疯狂后，郝振东始终下不去“刀”，在良
1702256540# #多部门回应杨丞琳说河南人爱骗人一句玩笑话不必当真吧！不要太小气了允悲
1700380519# #拉起妈妈你已经赢了大部分人
1686910761# #惊讶！四川小伙马上渴死在火车上，幸亏好心人帮助！
