1695353395# #这是哪个白痴拍的？
1690593476# #【跑酷网红，香港坠落】。法国跑酷网红Robert在香港坠楼。坠落过程中曾抓到煤气管道。敲打窗子希望住户开窗。住户家菲佣不开窗，而是报警。等警察赶到，网红已体力不支，坠楼身亡。。据物业提供的监控录像显示，法国网红进入大厦时向保安谎称他去40楼探访朋友，但随后他却敲开了顶楼的门锁，去了顶楼，在
1696907441# #做个不想被房贷套牢的老实人，就是摆烂吗？
1703472694# #继承传统，圣诞快乐！
1704157245# #最失败的反华宣传允悲
1695032043# #人家把你说过的话做过的事复述一遍，算哪门子造谣？
1693551288# #本狼年轻时曾经游荡过的旧金山，如今已经衰落了。
1689227357# #【当主子说你得知道感恩】。据英国《独立报》报道，当地时间7月12日，英国国防大臣华莱士在北约峰会一新闻发布会上“出人意料地发表了对乌措辞强硬的讲话”。对于泽连斯基在入约和军援问题上满腹牢骚，甚至发文斥责北约“荒谬”，华莱士提醒乌克兰应该“多对西方说谢谢”，“一年前我就告诉过他们，我不
1692665262# #【似曾相识】。8月19日，美国加州遭遇飓风。8月20日，又来了场5.1级地震。
1696944662# #公知支持以色列，声讨哈马斯！。结果配图是巴勒斯坦人举着被杀害婴儿的尸体游行抗议以色列……裂开
1687759156# #为什么我在重庆勤奋工作依依不舍……
1689752034# #台湾同胞谴责列强，爱丁堡人背后放枪。
1703150383# #阿西吧你给我过来！。你过来你过来呀！。你过来我就给你跪下思密达！
1700987169# #大哥千古，不必醒来
1695475299# #加拿大方面辟谣，说菲德尔·卡斯特罗（古巴革命领袖）是贾斯汀·特鲁多（加拿大现任总理）亲生父亲的这种说法，完全是谣言。。居然会有这样的谣言，这简直，这简直……也太像了吧裂开
1689407749# #无双标，不美国。
1691572446# #中国问题专家卡洛斯·马丁内斯在他的新书中列举了如下数据：中国的平均预期寿命为78.2岁，识字率为97%，而美国的这一数字分别为76.4岁和79%，尽管中国的人均gdp仅为美国的1/6……
1688183281# #【白狼影评】。看了《消失的她》，电影很精彩，但是有种感觉很不舒服。。这部电影的核心理念是，不要相信穷人。电影中的富人是善良而又单纯的，穷人是贪婪而又邪恶的。富人要看好自己的钱包，要和其他更有智慧的富人抱团，可以借助拔刀相助的老外援助，但是一定不要相信自己国家里那些接近自己的穷人。。
1697353974# #不久的将来，可以从北京坐船去广州。。假期出行一定不会堵车。
1703844972# #地道战、地雷战，加沙这战场，本狼怎么越看越觉得眼熟呢？
1699771984# #听说本狼期待已久的《上甘岭》不播了？。该不会改播《黄河绝恋》吧……
1701077612# #中国工人有力量！
1699613472# #越南妹子真的想嫁给中国男孩吗？
1699687764# #【洋老公碎尸案】。11月10日，洛杉矶37岁的华裔女子梅被发现死亡，她的洋老公不仅把自己的妻子杀害碎尸，还把72岁的岳父李高山和64岁的岳母王艳湘都给碎尸了衰。白男多变态，不可不防啊。
1702632418# #怎么了？你见过要饭还站着的吗跪了
1696934034# #综艺系的小课，总是很欢乐音乐
1698365017# #据《纽约邮报》报道，10月25日，美国康奈尔大学位于纽约州北部的校区内多处出现反以色列的涂鸦。涂鸦内容为“以色列是法西斯”、“解放巴勒斯坦”等口号。
1703227086# #《纽约时报》援引被释放的以色列人质萨哈尔·卡尔德隆的话：“我多次告诉自己，最终我将死于以色列的导弹，而不是死于哈马斯。”。风向在变。
1695172589# #高华认为中餐是给穷人吃的，因为吃动物内脏等等。
1701696209# #越来越多的弯弯意识到：这仗没法打。。那就麻溜地投降呗🏳️
1695193032# #【食尸鬼】。在日本被活活饿死的女公知、武大新闻系毕业生、前大象公会员工、恨国党Akid王懿女士，她的朋友们在她活着的时候不理不睬不投喂，死了之后发文说她是厌食症搏情怀搏打赏。如今，居然把她最后一点遗产也给转走了，约合人民币5万元。。所以你可以把这帮二鬼子称为“东京食尸鬼”。
1703757714# #当年是谁骂内地游客“蝗虫”来着？
1694785146# #美方高官口不择言，抨击华为手机是“来自地狱的产物”。。因为你们无法监听了吗？
1690523077# #那又鸟不知道她是一只鸡允悲
1703150159# #金牌讲师给甘肃地震捐款，乃木佳子破大防！
1691375197# #王姓润物，在美国穷得买不起可乐，只好买了一大桶矿泉水，然后往里兑白糖，当成可乐喝。。该名王姓润物此前在国内事业单位工作，却一心向往美国，于是辞工卖房，花了几十万偷渡到美国。然后根本找不到工作，房子也租不起，住在街边公园里。但却依旧执著地在网上炫耀美国的“幸福生活”……
1702568987# #珍爱生命，远离大车！衰
1702461417# #一位狗仔拍到了某明星在横店的野外拉野屎的照片，全网都在对P寻人允悲
1695703734# #直给翻译，劝世良言。
1696402160# #这阿三会不会是期待我们去殖民他们呢？
1698390459# #中传播音主持进修班。23秋季班举办金秋沙包大赛，第二小课组实力夺冠！本狼是裁判酷
1692928249# #美国在衰落吗？
1702990200# #甘肃地震发生后的某大学宿舍衰
1700142288# #果敢同盟军从缅北诈骗园区解救了成千上万名中国人。然而他们中的许多显然并不愿意回中国。。他们干过什么缺德事？
1694316171# #【反正吹牛不上税】。某福建润人说他在美国六年送外卖跑滴滴赚了1985万美元，折合人民币1.5亿，四舍五入那就是两个亿呀！。每天外卖15小时，晚上还要跑滴滴，看来美国一天不只24小时，难怪钱这么好赚。每天跑个滴滴就八千一万的，这开的一定是美国“NotYet”号空间站吧。
1688372191# #勇怼女拳，极限对抗。
1695690503# #两对夫妇，两条道路。。一曰不畏强权独立自主。。一曰为虎作伥火中取栗。。叙重生，乌焦土。
1693017949# #中国的嫦娥成功登月，他们说工资3000与我有毛关系；。阿三月船三号登月，他们说承认别人优秀很难吗？
1697625377# #据台湾“中央社”报道，“越南台湾高等教育展”10月16日在越南南部的芹苴大学举办，当地政府要求舞台背景板显示中国台湾，否则不能举办活动。民进党当局驻胡志明市“办事处”教育组长陈和贤在接受台媒采访时称，他们13日下班前收到地方政府的通知，16日上午举行的教育展背景板上的字样必须写中国台湾，
1694680803# #当地时间9月12日，墨西哥记者海梅·莫桑展示了两具疑似“非人类生物”的遗骸，声称该遗骸“与世界上任何生命都不同”。这两具遗骸全长大约60厘米，头部细长，每只手有3根手指。莫桑表示，他于2017年在秘鲁库斯科附近发现了这些“非人类生物”遗骸，“遗骸不是在坠毁的飞船里找到的，而是在硅藻矿中发现
1692264788# #竟敢威胁要自杀？美国警察绝不惯着你！
1689327114# #岂有此理，莫名其妙。。已有母乳，还挣哪门子奶粉？。做这生意，不怕饿到孩子吗！
1690881564# #海龟女作家猛烈抨击北京市政府采取的防雨抗洪措施……
1700986236# #英国“中东之眼”新闻网11月25日报道，在被以色列摧毁的加沙废墟旁，一名以色列国防军士兵对着镜头向女朋友炫耀自己刚从加沙抢来的一条项链：“诺雅，看，你男朋友从加沙给你带回来的新项链。加沙制造，加沙制造。有一颗爱心在上面。”。上面还有原来主人的体温吗？她本人已经冷了吧……
1688474453# #【华人女子，纽约房东】。据《世界新闻网》（worldjournal）报道，华人女子江女士在纽约皇后区白石镇拥有一处房产，近日江女士上门收租，没想到却被租客暴力殴打，报警后对方声称江女士也有动手。现在双方都申请了保护令，江女士暂时无法靠近自己的房产，还被控妨碍治安。。去年12月初，江女士将新买的
1687992816# #【学霸打脸喷子】。湖南桑植县一中学2月24日举行百日誓师大会，高三学生代表符文迪的发言引起了广泛关注。她慷慨陈词：“凌晨六点的校园真的很黑，但600多分的成绩真的很耀眼！”众多网友送上祝福，也有喷子冷嘲热讽。。高考结束，有人张冠李戴地把福建晋江张同学成绩套在符同学头上，企图看她笑话。然而
1699772113# #老周，敬你是条汉子！
1696931867# #21播本综艺资讯播报林白老师小课组话筒
1689395142# #【奴隶制】。如何回敬慕洋犬系列允悲
1697796676# #港币人民币1:1，意味着深圳人民直接给港人打了八八折。
1688345810# #这香菜加得有点多，成香鸡了
1693782024# #精日精出精神病，水稻还没抽穗开花的时候，闻个鬼的稻香呀。
1697890420# #据俄罗斯卫星通讯社10月20日报道，哈马斯日前宣布用无人机摧毁一辆以色列坦克，并公布了现场画面。画面显示，一架无人机将一枚RPG-7炮弹精准投放到以军“梅卡瓦”MK4主战坦克上，坦克瞬间燃起浓烟，碎片四射。。让帝国主义军事霸权头疼的时代开始了。
1696125879# #老外有多喜欢熊猫🐼
1691837269# #当台巴子冒充安徽人允悲
1690871007# #韩国7月出口额为503.3亿美元，同比下滑16.5%，这是韩国出口额自2020年5月以来的最大跌幅，也是连续第10个月下降。。其中，韩国的主力出口品芯片的7月出口额同比下滑34%，已连续12个月负增长，较上月下降28%的情况更加恶化。汽车（15%）、通用机械（3%）、家电（3%）的出口增长，但石油制品（-42%）、石
1693966934# #可是月薪四万，没有男人也可以活得很好呀。
1689848275# #熊猫🇰🇷……
1695120347# #刘女士和丈夫三年前移民加拿大，不久前，她在驾车途中遭遇枪击，挨了三枪，伤情十分严重！她的家人在网上发布募捐，希望募捐20万加元，折合人民币109万。。对刘女士表示慰问和同情，本狼愿献上一片枫叶🍁。相信作为加拿大公民，在一个免费医疗的国度，一定可以得到完美救治，早日康复。
1698948052# #下一个屠杀犹太人的国家，必然是美国！
1692971360# #欧洲2023数学竞赛，中国第一，美国第二，土澳第三，英国第四。。然而其实都是中国孩子。
1699583749# #加沙，犹太鬼子进村了。
1696558426# #山东青岛，女生在沙滩上画了一个圈围住自己的鞋子，然后去疯玩。半小时后回来，鞋子无人打扰。。某地音乐节上的那些失主们，你们是不是忘了画圈？
