1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1695426489# #未来婆婆说给买一千块钱的三金现在的工艺金黄金贵的离谱啊！其实饰品黄金和大宗现货倒挂是有趣的话题。。拿汽油来说，。千万别对汽油涨价感到不可思议，因为它还会继续涨。。只要楼市、A股股市起不来，外贸起不来，汽油的价格就会持续涨。。国家机器要运转，所需成本要么楼市出，要么股市出，要么外贸出
1693131087# #第一波A股沪指反弹到3300预期应该还是有的！。同时发布两个利好！。证监会阶段性收紧IPO节奏印花税减半征收
1700717278# #【冒充老师对学生家长诈骗】北京有家长今天早上收到诈骗短信，大家小心啊！。（骗子主要利用孩子在学校，手机是收上去的）
1702989080# #美联储官员继续打压降息预期，黄金能否再测2050？
1696906889# #不明身份人员驾车冲闯中国驻旧金山总领馆中国驻旧金山总领馆发声冲闯中国总领馆男子被击毙美国太乱了，加防护栏吧，最好能加上定向爆破装置，谁撞谁炸碎。
1702646452# #【一言不合就扔手榴弹】据乌克兰媒体报道，恐怖袭击在克雷茨科夫乡村委员会会议期间，泽连斯基“人民之路”党议员谢尔盖·巴特林发言。。俄乌局势新进展
1700189785# #米帝有两大法宝，印钞机和会计师
1700794353# #杭州中考指定跳绳一根78元义乌小商品恐怕就卖10元钱吧！指定品牌，真够狠的。
1687324253# #昆仑万维午后持续下挫，现跌幅扩大至16%。资金流向AI板块已经反复提醒出货了。
1693874523# #从资金角度来分析A股大盘是否反转？。虽然昨日周一北向，内资主力资金流入多，都是偏向上证50个股，其他板块真机构主力没几个买入的。。所以A股反转行情还没来！。希望今日周二华为板块如果能继续遥遥领先。。那么A股才会继续上涨！。日本拆看华为手机，大骂骚嘎心态失衡，让敌人猜不着，才是最可怕的。
1694661094# #今天下午赌A股沪指收红！！！。你的选择是？。活跃资本市场
1698914279# #中美将于下周在华盛顿举行司级军控和防扩散磋商，外交部军控司负责人将率团出席。根据双方商定的安排，中美双方将就国际军控条约履约防扩散等广泛议题进行对话交流。
1689680787# #厦门“大蟑螂”你太有才了
1694431155# #鹏华基金旗下产品鹏华养老2035三年，近一年亏损8.29%最大回撤20.69%，还算亏的少的基金了，今年还有人买基金吗？
1689849215# #自从老胡炒股以后，说话越来越有烟火气息
1695771658# #你。。。这招是怎么想到的。
1694593667# #华为Mate60是如何逆袭的还是建议大家买苹果15iphone15理由非常简单，华为MATE60信号太好了，到哪付款时都不能装信号不好了，但是苹果手机就可以，等华为Mate60都买完单了，苹果15才跳出支付码。。还有，出门旅游去个沙漠，大海什么的安静地方，想好好休息休息，结果领导一通卫星电话就找到你，然
1701316531# #国货羽绒服卖88元前不久冲上热搜！国产羽绒服卖到7000元，品牌去年才创立。。立马有电商发现商机。。电商推出的羽绒服计划，价格与军大衣相当，却能够享受到高达90%鸭绒的绒量。这个“魔法般”的实惠立刻引发了广大网友们的热议，纷纷感叹这款羽绒服的给力之处。
1698190034# #厦门超话厦门违规养犬有什么后果半夜狗叫扰民严重。怎么根治呢？
1699594630# #A股睡着了。。。
1694043107# #为什么不能扣肚脐眼肚脐离血管、神经也比较近。不能乱扣。。大部分人的肚脐是凹进去的，但也有人的肚脐是凸起来的。。。肚脐，更像是一个死胡同，哪儿都不通。。。肚脐几乎紧挨着腹膜，是腹部最靠近内脏的一点。
1698724699# #大疆被罚440亿元系自媒体发酵又是传谣
1699174983# #被马斯克打的？
1694699935# #15年来，全世界的主要股市都在上涨（包括印度，日本历史新高），只有中国股市不涨，这对中国的国际形象和市场信心都造成了极大损害。
1692234953# #经济日报：以暂停新股发行来救市不可取】经济日报称以暂停新股发行来救市不可取文章。。良心记者啊，都在劝百姓别当接盘侠。
1691458128# #今日A股3250会去摸的！！！。说好的活跃资本市场，看来还没跌到我，机构抄底先！！！
1688205716# #中国女篮vs澳大利亚女篮突破！反超！还得是王思雨。中国女篮棒棒哒！
1701668567# #肯德基外送打包费肯德基外送新规收取2元打包费好像配送也要大几块，还加个打包费。。真是有钱人的生活啊！！！。大家嫌弃贵，说明还是想吃肯德基的吧！继续当有钱吧！
1700439978# #本周五Greg和Altman离开OpenAI的董事会。Altman对AI安全不太重视，引发了董事会的不满。。A股网络安全板块，今日会有异动？
1703147642# #招商银行H股获摩根大通、贝莱德增持。买不完，根本买不完。
1689692104# #厦门这个公园开放啦南湖公园好久，好久没去泡茶了。
1696894225# #福建00后的新型欠款方式你怎么知道我单词还没背允悲
1701731371# #北约秘书长斯托尔滕贝格说：北约国家已经“无法满足乌克兰对弹药日益增长的需求”。。俄乌战争还能打的下去吗？。俄罗斯还行，北约国家不行了。
1696547966# #京东方A(sz000725)超话美股三大指数小幅收跌，热门中概股涨跌不一。。美股有止跌企稳的迹象。。今日看盘
1697333825# #【抢夺卫星通信权是成为信息大国关键】乌克兰军队因为用马斯克的星链，所以他们就是在前线通信不是很好情况下，还是可以不断的发出战地视频。。当前全球上网有二个方向，。一个是马斯克的，发很多卫星，但是需要一个“锅”就是碟形天线系统进行进行信号转换。。。另一种未来的主攻方向，就是手机和卫星直接
1695531561# #陕西信达被重罚100万取消成绩才100万，轻轻一点，所以男篮哎哟喂呀。不用期待什么好成绩了。
1688697361# #A股现在已经没热点了吗？。拉到水产养殖板块了。。这些资金在比跑得快吗？
1693203575# #A股好样的，3100点破了。。北向资金砸出了83亿的水花。
1691976975# #雨哥看盘超话A股3150点抗住。。。
1693008198# #岸田文雄，尹锡悦将被钉在历史的耻辱柱上。评估报告不能成为日方排海通行证
1696811858# #京东方A(sz000725)超话华为手机回归，带动了整个的华为终端。。华为手机回归带了热度，让客流量多了将近8-10倍。。华为A股关注一下
1698987814# #【苹果手机产业链】。最高的是美国自己，提供芯片等核心零部件，价值占比33%；。。第二名是韩国，提供屏幕、内存等重要零部件，价值占比29%；。。第三名日本，提供马达、内存等次重要零部件，价值占比10%；。。第四名中国台湾，提供一部分次重要零部件和A17芯片代工等服务，价值占比9%。。
1698977458# #“笨蛋，关键是经济！”---克林顿。。"Heisadictator！"---拜登
1702375535# #新冠在全球12国快速蔓延，新冠变异株JN.1已成为美国增长最快新冠变异株，本次流感季美国死亡病例1600例。。视频来自网络，若有侵权，请联系删除。
1694958098# #高薪但不体面的职业是什么？。。网友答：中国男足和中国男篮。两连冠的主教练下课，这在篮球界中也是相当炸裂的操作了杨鸣卸任辽宁男篮主教练。男篮现在就出发还来得及。
1703120375# #这可是人才。。。
1696308180# #我的十一Plog水水水水我水水水水
1688446805# #京东方A(sz000725)超话【分享经验】下跌周期中，有抵抗力的股票，开始补跌的时候，就是短线进场的时候。
1703950499# #2023最后一个人设【微博冲浪人设大赏&gt;&gt;&gt;冲浪人设千千万，翻空出奇我独显～快来一起揭秘2023微博冲浪人设吧！还有惊喜“人设铭牌”等你来抢！
1688004266# #已经老弱病残了。
1703207869# #降息对A股来说，没有直接的利好，仅仅对银行板块带来利润的增大而已。。A股新的上涨必然需要有明确的主线去引领，而目前市场尚未找到新的方向，所以还需要观察市场企稳后，市场主赛道产生，我们再介入，赢面才大。。最简单的方法，就是看主力资金流向。
1695617753# #据说，今日下午华为发布会，没有9100芯片。。不过还是可以期待国产芯片的。。A股华为板块遥遥领先！。活跃资本市场
1688114604# #6月30日A股新能源汽车今日掀起了涨停潮，太久太久没看到的场面了。。主要是由一条小道消息特斯拉Model3电池将升级，采用66度磷酸锰铁锂电池。。000678襄阳轴承--3板-----汽车零件+机器人。600367红星发展----------锂电池。603178圣龙股份----------减速器+汽车零件。002931锋龙股份----------机器人+汽
1697606418# #唯有华为来个集体涨停潮，A股才能起死回生，否则，等破3000点吧！
1698041684# #A股股灾在蔓延！！！。公募基金成为下杀的主力军。
1689228067# #我的香农芯创止盈早了。。。20CM
1697594560# #经济一片大好！2023前三季度GDP同比增长5.2%
1701048758# #官宣数据：1-10月份，全国规模以上工业企业利润同比下降7.8%
1701606071# #地磁暴国家空间天气监测预警中心：12月4日可能发生小到中等地磁暴
1699010097# #金融是国民经济的血脉。提高公募基金在A股市场的持股比例
1697160631# #昨日A股银行板块，主力资金整天净买入9.8亿，先做个参考目标，看看今日A股主力用一个小时，还是3个小时出光？
1698045207# #青岛啤酒事件涉事人员均为外用工为什么要那么辛苦爬到里面去尿尿呢？。任何一个角落都方便啊！
1689815166# #【A股剧本，周四不黑】。今日A股反弹；。能弹多少得看中国三大运营商。。今日看盘
1701052749# #A股主板，概念股基本没有一个板块可值得一看的，最近持币更安全！。北交所，不建议各位老板去。。一地鸡毛，随时发生。
1694066669# #A股两市下跌个股超4600只，上涨个股仅400余只，成交达6030亿元。壮观吧！。全世界独一味！只有熊市，没有牛市的股市！。有钱好好存银行，别取出来投资。。因为活下去，任重道远！！！。活跃资本市场苹果市值一夜蒸发1062亿美元唯一带来A股华为板块有点作为。
