1688176316# #新能源车电池竟然长这样。
1689764851# #李白有几个老婆？我说：礼拜一、二、三、四、五、六、日，有七个老婆。允悲允悲允悲
1694123393# #愿每个人都能被温柔以待小女孩父母离婚后，跟着奶奶独自生活，仅靠奶奶一个月2000多工资，不仅要养女孩，还有上大学的姑姑，放学了或者周末就去奶奶超市帮忙，还会帮着发传单，懂事得让人心疼。
1691396194# #台上28位孩子表演舞蹈《草长莺飞二月天》，台下28位家长共同完成。“台前幕后，牵扯着一根根割不断的羁绊。”
1703079438# #华晨宇yu、成毅、TFBOYS-王俊凯、时代少年团-丁程鑫、TFBOYS-王源、MIC檀健次JC-T、王鹤棣Dylan、时代少年团-宋亚轩、时代少年团队长-马嘉祺等为甘肃青海震区同胞祈福。
1689928844# #7月18日(发布），法国，中国网友在法国搭便车，听司机师傅放凤凰传奇的歌。拍摄者:谢谢师傅，感觉回国了！
1700825353# #【3岁娃走丢4岁女童沿街吆喝帮找家】“谁家小孩丢了？”3岁小女孩不慎走失4岁“大姐姐”吆喝帮找家。（来源：青蜂侠）
1698887450# #今日灼见的精选超级购物节清单高效沟通的艺术。【推荐理由】这款商品是一本关于高效沟通艺术的书籍。通过学习这本书，您可以了解到如何在沟通中更加高效地传递信息，避免误解和冲突。书籍内容包括沟通技巧、有效表达和倾听等方面的内容。通过阅读这本书，您将能够提高与他人之间的沟通效率，建立
1692853765# #今日灼见气场强大，身边没人敢坐遇见美女
1691201320# #天津加油！抗洪必胜！！抗灾防洪天津全力以赴
1703392372# #【朱令离世并不代表案件已尘封】当我们回顾那些曾引发广泛关注的社会事件，有一个名字我们无法忘记，那就是朱令。朱令，一个才华横溢的姑娘，却因离奇的中毒事件而失去了她年轻的生命。尽管时间已经过去了二十多年，但关于朱令的案件仍然牵动着人们的心。。。1995年，清华大学化学系大二学生朱令离奇
1696161162# #富人绝对不会说出来的财富秘诀。来源：投资进化营
1696658547# #懂事的孩子让人心疼。
1696399886# #孕妇在出行间突然低血糖晕倒，公安及时赶到用自己的身体依托孕妇，看到这一幕我发自内心的感动。你永远可以相信中国警察
1691032532# #【求转发】天津武清蓝天救援队正在涿州救援！救援现场非常艰难，停水停电，受灾严重地方水深3米多，水中有很多急流，水下有很多未知杂物！目前救援队8艘冲锋舟已经被刺破4艘，30马力的船机也坏了2台，严重影响救援效率！而现场，还有很多当地百姓需要救援，救援队现急缺设备：冲锋舟，30马力船机，
1689434409# #7月14日（发布），黑龙江鸡西。货车司机在马路中间清理车厢，女子为环卫工人抱不平，司机：他就是挣这份钱的。
1687166228# #和在一起五年的男友分手了，舍友坐在阳台一下午没人敢打扰，网友：她肯定把这五年的事情在脑海里想了无数遍。
1692648822# #女主人在家教训孩子，一句“站好了”吓得狗子直哆嗦…🤣
1690363683# #7月26日，菏泽。大货车凌晨突发大火，货车司机直接开到消防队，危机关头消防员迅速灭火。你永远可以相信中国消防来源：
1700618302# #存够100万的我裸辞了工作才使人快乐，坐吃山空永远是不变的真理。
1697209246# #老铁说股超话胡锡进炒股告诉我们这样道理：股民心中应该有个指南针。
1692297681# #11岁男孩卖扇救妹致轻微中暑，西安市民当场落泪。
1700832132# #男子在餐厅内推销水笔，被拒绝后仍然微笑着离去。大庭广众之下，真的需要莫大的勇气。
1694777181# #男子站在挖机挖斗里不慎掉落，躺在地上工友上前查看。
1701935215# #大爷拎着塑料袋里的小狗出门遛弯，小狗：其实我可以不出门的……
1694173815# #9月8日，广东，网友拍到的暖心一幕。保安叔叔给外卖小哥擦身上的雨水。网友:外卖小哥看起来就像个回家的孩子一样。
1689324391# #奶奶误把退烧药当饮料，给两岁孙女喝了一整瓶。
1693518426# #失联23年的儿子，进门一句：“妈！”，老母亲瞬间破防～来源：
1691470038# #【小姑娘练习京剧灵气十足】近日，四川成都，6岁女孩在家练习京剧，一招一式有模有样灵气十足，网友:终于知道什么叫粉雕玉琢了！今日灼见这孩子是块练京剧的好材料。被这个宝宝惊艳到了
1687829442# #男子路遇男孩卖野生蜂蜜，要价30男子给了50，网友：这个眼睛能证明是现摘的。被这个宝宝惊艳到了
1687689154# #民警偶遇酷似已故缉毒犬狗狗泪目拥抱。
1696811915# #10月6日，西宁。切阳什姐带着两枚金牌载誉归乡，家乡人给她献上一条又一条哈达。
1698822438# #天津原创网络公益歌曲大赛2023年天津市原创网络公益歌曲大赛——创作者心声歌曲《青春时刻》词曲作者洪鑫。点赞天津你好天津
1688815529# #遇事好好沟通，千万要珍惜生命啊！河南一女子天台崩溃欲轻生。你永远可以相信中国消防
1689298170# #高手在民间！工人用6米长杆写船号，一气呵成整齐如打印。
1701917939# #狗挣脱绳索咬死主人养的17只鸡。主人：你今天必须有个交代。
1689426935# #男子第一次坐迷你飞机，9个座位2个驾驶员，行李放脚边，“颠簸感更明显但在空中很平稳”。
1687647000# #6月23日，四川。父亲陪儿子查高考成绩，从担忧到相拥着喜极而泣。
1703397102# #12月24日（报道），南昌籍抗美援朝老战士、骨科名家段胜如逝世，享年102岁，曾任抗美援朝江西手术医疗队队长。
1697438555# #中国钓友在泰国钓鱼时发现五星红旗居然矮别人一头，与钓场老板沟通后，将旗升至最高。
1692160783# #女子想抱走小女孩，一旁小男孩喊着“放下来”，女子见女孩父亲赶来才放下离开。今日灼见孩子在外面玩，一实要在视线范围之内。拐卖孩子是的，真是该死！怒怒怒
1688564121# #歌手李玟去世刚刚，李玟的二姐李思林Nancy发布了Coco去世的消息。歌手李玟因抑郁症轻生去世。快告诉我是假的愿逝者安息，生者坚强🙏🙏🙏蜡烛蜡烛蜡烛
1699360519# #“中国强则白俄罗斯强”，这句标语亮了！网友：白俄罗斯算是整明白了。
1699869491# #俄罗斯开始从加沙撤侨！
1699602048# #巴以局势观察战地记者独家探访巴以冲突下叙以边境以色列不断空袭叙利亚两大主要机场与政府军南部军事据点。叙利亚与以色列边境是否会成为新的战场？战地记者独家前往叙利亚以色列边境观察《叙以边境表面平静实则暗流涌动》。记者站在边境线上，“在以色列密切监视下，任何物体
1700279109# #小百花越剧团表演结束后，小女孩冲上台抱住李云霄，越剧的种子从此在她心中种下。
1689956664# #司机因前方修路无法通行，大爷见他没饭吃，从食堂多打一份送来，司机拿烟给大爷表示感谢被拒绝，网友：善良和文化职业无关。愿每个人都能被温柔以待
1696908194# #孩子不小心打翻西瓜汁，爸爸妈妈一边收拾一边安慰孩子，妈妈：不要为打翻的牛奶哭泣，因为谁都有打翻牛奶的时候。
1687044301# #武汉杨四港惊现鱼跃龙门阵，百名钓友集体起立。
1689686280# #固始出现偷狗贼，拿枪打完麻醉带走，最终流向狗肉市场，真的什么人都有，吃狗肉的究竟都是什么人！
1697282452# #宝妈晒出一岁多宝宝的哭声。直言：你怎么哭得这么难听“怎么小小年纪就这么一大把声音了”！
1700235500# #抖音付费短视频只能看7天抖音测试付费短视频功能：平台或将抽成30%。消息称抖音于近期测试视频内容付费服务，即用户在平台观看部分视频内容时，需要付费才能解锁全部的内容。不同于此前的短剧内容付费，此番测试的付费视频内容，不再局限于短剧这单一的短视频类目，测试中已包括日常、知识、娱乐等内
1703913512# #老铁说股超话【热点来自题材，持续性来自赚钱效应】。。市场热点很多，每天都有不同的消息推送，如何在第一时间把握热点？这个热点是主流还是支流，其中核心便是大方向或者说大局观，也就是我们要站在更高的高度看问题。。。大方向的问题或许就是一张白纸，懂了就懂了，不懂的多说也没用，用我的话说就
1697934508# #李大霄：这个周末我没睡觉，终于想出一个救市方案。实在是高！（风口财经）
1701613360# #一辆小车不慎坠河，车上还有两名幼儿，两名男子毫不犹豫跳水救人。
1701587986# #你确定她也是流水线的一员吗？
1699245231# #儿子因病去世满一百天，老父亲站在儿子的墓前满眼泪水。
1690954734# #闺女赶快去吃饭吧，别跳了。网友：摇的两下子都怕她散架了。
1696764469# #【防范和化解意识形态风险，建设具有强大凝聚力和引领力的社会主义意识形态】。。近日，中共中央总书记、国家主席、中央军委主席习近平对宣传思想文化工作作出重要指示指出，“坚决有效防范化解意识形态风险，敢于亮剑、敢于斗争。”落实这一重要指示，需要采取行之有效举措。。。政策法规要跟上。制定相
1689731322# #地铁上一男子称心脏病发作，躺地上不起，大声求助周围乘客，网友:这是老演员了。太坏了！建议封禁此人乘坐公共交通工具！
1690080483# #7月22日，浙江绍兴。钱塘江边出现一条潮头鱼，男子徒手江边抓大鱼。
1688732129# #7月6日湖南（发布），高层建筑瓷砖脱落，场面堪比爆炸。网友：幸亏人没有大事。近段时间，屡次曝出高层建筑墙皮脱落事件，各地住建和物业管理部门应高度重视，不是每次墙皮脱落都这么幸运，特别是针对年久失修楼房，要全面检查，落实管理责任，发现问题及时修复，确保人民群众生命财产安全。
1689969198# #提醒！从7月20日起，儿童乘火车要带本人身份证件。扩散周知！
1700633995# #给你点赞，一位伟大的母亲！
1693368281# #上海人的深夜面馆被河南老乡承包了现在上海已经有数千家河南拉面馆，大多数已经24小时不间断的营业，接手丈母娘小店的河南女婿说道：河南人普遍很能吃苦，如今通过互联网方式，让生活更便利，也因此提升了生活质量。小店保持旺盛生命力的同时，也点燃着上海的城市烟火气！
1688287700# #老板曾投喂过一只流浪狗，饭店开业时，狗狗竟然叼着花篮来祝贺。
1700458417# #小女孩真是太懂人情世故啦！
1689655094# #你的嘴唇出卖了你。近日一年级女孩上课吃零食，被老师发现后全程不承认，老师表示相信她。不得不说，这小孩是心理素质太好了，跟老师对话，全程脸不红，话不慌。
1688856743# #老虎于湖中欲狩猎鸭子以果腹，奈何鸭子潜水走位让其茫然四顾。网友:再牛的人物，跨界啥也不是。
