1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1590792802# #《形而上学百度百科》《形而上学》是古希腊哲学家亚里士多德创作的哲学著作，创作于公元前4世纪。《形而上学》共14卷，集为1册。书中探讨了哲学对象和研究范围；对一些哲学术语做了释义；分析批判了以前的哲学家思想，重点批判了柏拉图的理念论；阐明了作者的实体、质料和形式等理论。《形而
1553284240# #快来森林驿站，招待滚滚的小伙伴！和熊猫守护者一起刷微博，攒能量，收获爱心，守护更多野生动物吧！.『森林驿站』
1549745594# #既不好玩也不好笑，下流也要分层次。
1562612071# #《敖日格乐吊打日本狂人，20秒打趴对手不解气，还坐着打属实牛逼！》我和2.1万人都在看，快来一起围观。吊打！像打沙袋一样，没劲。
1559278251# #厄齐尔是位好球员，却始终认为他郁郁不得志。无论国家队还是俱乐部，厄齐尔像个倒霉蛋。从勒夫到温格，再到现在的埃梅里，因为他是土耳其移民，不是真正意义上的德国人。是否有高乔人的血统不清楚，但他潘帕斯雄鹰的执拗性格注定了他成为一位悲剧式人物。
1559172193# #我在看：【两小时让中国导弹"失明"?43颗北斗一飞冲天,美国终于沉默了】跟新浪看热点
1573877001# #不论做什么事，都要相信你自己，别让别人的一句话将你击倒。
1562241098# #小米运动小米运动
1609390954# #我错过了C2019那班车，现在还在原地等自己。
1575125065# #太精彩的经典战术，所以解说嘉宾娄一成形容这是场以牙还牙的比赛。瓜帅又丢了两分，今年的联赛冠军不但无望，很可能连下赛季的欧冠资格都难保。。曼城是世界上花费最大的俱乐部之一，问题是本赛季曼城的成绩不尽人意。一是瓜迪奥拉显得黔驴技穷，二是回西班牙执掌国家队教鞭的可能性增大。相比克洛普，
1569153760# #懂球帝我爱你，中国！辽宁宏运和黑龙江fc的比赛中，辽足...更多精彩内容，尽在懂球帝
1568784276# #当你改变不了环境，只能适应环境。中国人与生俱来有三好：好赌、好色、好色，纵观大汉历史，无不印烙了这三好。绝对不是妄自菲薄，汉文化充殖着民族劣根性，否则哪儿来的那么多汉奸？文明的最终之路是灭亡，赌博仅仅是一碟开胃小菜。
1585329966# #《女子自称外国人欲开车进小区，保安怒吼：中国国土上轮不到你撒野》此视频已有55万次播放，快来一起看看！
1610403518# #为什么是十大词人？谁划定的？我说二十大或五十大不行吗？定位历史人物是件十分严肃和专业的事，不是儿歌。
1566252914# #柯文哲跟吴子嘉混在一起，还说别人搞意识形态？柯p太龌龊了，难怪被各路政治人物痛批不堪！郭台铭小人，王金平狐狸，只有韩国瑜具备政治智慧！跟新浪看热点
1568533852# #转发微博
1555018651# #《刚刚！被问到底让谁参选2020吴敦义激动吼出这些话现场瞬间沸腾》好看视频-分享美好，看见世界
1576700873# #《不可思议！男子自称见到外星人整个人不受控制还被外星人解剖了》我和9.6万人都在看，快来一起围观
1556929046# #泰伦卢？来湖人给詹姆斯练手辣？还记得在骑士么？詹姆斯心情不好时就把泰伦卢拉过来痛宰一顿，好几次泰伦卢被揍个半死，好多天都躺在医院的病床上起不来。别以为这是假消息，泰伦卢确实被詹姆斯揍过，为什么挨揍？傀儡教练只能当沙袋。
1581002476# #《两位不败神话的对决！死神方便三次击倒对手，创造奇迹！》此视频已有62万次播放，快来一起看看！
1548013300# #我参与了中国队战伊朗胜算几何？】，我投给了“对手实力强劲国足凶多吉少”这个选项。你也快来表态吧~
1562489533# #《七七事变百度百科》1937年7月7日夜，日军在北平西南卢沟桥附近演习时，借口一名士兵“失踪”，要求进入宛平县城搜查，遭到中国守军第29军严辞拒绝。日军遂向中国守军开枪射击，又炮轰...
1561576126# #《男子到花生地锄草，发现地里竟长了许多蛋，剥开后里面还有个小蛋》我和38万人都在看，快来一起围观
1554196486# #很容易剪到手
1584312457# #“脑子瓦特了”纯粹是一句上海方言，几乎涵盖了每一位上海人都会用到的口头禅。原意并没有多少贬义的成份，大多数情况下是指某人轻易做了件蠢事，没有过滤过大脑，因为大脑坏掉(瓦特)了。。地方文化各具特色，上海话被当地人称之为本地话，也是吴侬软语的延伸。它比无锡话软，比苏州话硬，是中华三大语
1561146165# #《老鼠太狡猾怎么办？一个简单陷阱就让它们纷纷中招，太解气了！》我和2.2万人都在看，快来一起围观
1582775077# #跟着巴伦西亚一路走好！德甲蹿升，西甲等死。除了巴萨有可能晋级欧冠八强外，没落的金钱大坑差不多玩蛋了。
1557176326# #《刚刚！美两艘导弹驱逐舰闯入中国南海美舰队同时发表嚣张声明》好看视频-分享美好，看见世界
1564293322# #分享图片
1568532404# #《方便继续书写不败战绩，一记重拳干晕黑人拳王，看得我热血沸腾》我和13万人都在看，快来一起围观
1585210013# #我愿意甘当一位伟大的领航者。🙏🙏🙏鲜花鲜花鲜花
1561985721# #未来台湾建制福建省台湾县，台湾就一县，县下设几大区，台北区、高雄区等。把蔡英文抓回来关提篮桥监狱，便于公审。入罪后送青海劳改农场。
1572595329# #要降级的就这两队。
1566396210# #懂球帝这斗地主也太搞笑了，看一次笑一次！-栗山未来我老婆还有1467位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1561460762# #小米运动小米运动
1565536818# #《魔术师表演神奇悬浮术，玄机被揭开，原理十分简单》我和11万人都在看，快来一起围观
1566658957# #转发微博
1551035716# #解个屁气，最多算平手。我的观点是中日两国的民族主义情结很深，中国人的国仇家恨到现在也没讨个说法。相反的，侵略者仇恨被侵略者的情绪反而更高。看过许多报道，日本人之所以蔑视我们，是因为我们的民族劣根性跟大和民族的整体性大相径庭，否则小小的日本怎么敢侵略中国？我仇恨日本人，永远仇恨。
1572659242# #特朗普爱憎分明嫉恶如仇，但他这种性格不合但害了自己，很可能会害了约翰逊。跟新浪看热点
1547941899# #美率八国联军完成包围，伊朗大批战机升空开火，誓将波斯湾变血海(分享自
1585953554# #一位瞎了一只眼的上海人，未来可能双目都瞎。
1588197353# #凤凰新闻【美国大乱！特朗普靠防疫物资赚的盆满钵满，美民暴怒:特朗普下台】
1576762313# #分享图片
1551772090# #很有趣！跟新浪看热点
1559389480# #转发微博
1554525114# #上篮威少连续三赛季场均三双，雷霆主场胜活塞，格里芬空砍45分威少连续三赛季场均三双，雷霆主场胜活塞，格里芬空砍45分
1572610795# #鸽子蛋般小，值5000万港币。我国已发明种植钻石，种植时间只要一个礼拜，质量甚至超过原矿钻石，而成本差不多只有原钻石的一成。我都怀疑这钻石是假的，如果有鸽子蛋大小的原矿钻石几乎不可能，除非人工种植。再说了，5000万港币也不一定买到鸽子蛋大小的钻石。你们可以胡说八道，我说的有根有据，不信
1566042654# #黄瑋翰主持！今晚黄上《新闻深喉咙》。跟新浪看热点
1562951076# #摇头摆尾，真萌！
1552942645# #PP体育曝皇马8200万欧报价阿扎尔被拒低于1亿欧切尔西不放人
1552547256# #《基本资料》随时随地发现新鲜事！微博带你欣赏世界上每一个精彩瞬间，了解每一个幕后故事。分享你想表达的，让全世界都能听到你的心声！
1566484247# #《6岁“无腿男孩”寻找母亲，当门打开瞬间，竟然连评委掩面抹泪！》我和60万人都在看，快来一起围观
1569119518# #看到邓丽君就想起害她伤痛的成龙，成龙应该改名成虫，一条瘆人的成虫。跟新浪看热点
1572182330# #这样的点球会让大多数球迷想起阴谋论，国家队教练里皮出自恒大，里皮的两亿年薪大半由恒大老板掏腰包。如此重大比赛居然不用外籍裁判，改由足协指定国内裁判；恒大教练卡纳瓦罗是由里皮从意大利带来。。。凡事种种说明一个问题：里皮不但害了国家队，更重要的坑害了中超联赛。。中菲之战，里皮居然不让
1582651418# #《国家卫健委：武汉重症占比下降至22%近3天下降趋势明显》此视频已有3万次播放，快来一起看看！
1551580328# #转发微博
1600667283# #好日子不经用，难过的时候才会感觉度日如年！🙏🙏🙏
1558657341# #转发微博
1550301881# #911事件是恐怖分子送给美国人最适合的礼物。来而不往非礼也，美国政府对恐怖集团爱护备至。提供一切可以提供的东西提升恐怖集团发扬光大，这不是美国政府咎由自取又是什么？
1577622257# #只要是中国人承办大型国际赛事，成功及赢利的比例高过任何国家。按排名顺序，日本、卡塔尔、沙特、阿联酋、俄罗斯、韩国、美国可以进入前十。
1556985887# #日本人侵占与窃取的我国文物，比台北故宫博物院少不了多少。这笔账怎么算？大概三、五十年内会有个说法。东瀛四大岛(日本本土)，几十年内必陆沉，日本国将成为水下世界。中国绝对不会接纳日本难民，大和民族在世界上的恶名昭著，避免后患无穷。日本侵占中国的文物可以回归大部分。跟新浪看热点
1572178507# #恒大又掉一球，0-2落后河南建业！
1566842631# #《让你挑衅！被顶惨了吧？网友：惨不忍睹！》我和1685人都在看，快来一起围观
1610549221# #《最敏感时刻，美国又发生了五件大事！特朗普撂下一句狠话》此视频已有2万次播放，快来一起看看！
1550182967# #太直白！戚薇：万达全国包场多少钱？王思聪回答全场愣住！(分享自
1552678957# #水货喔！
1556494038# #你是厨娘，之前经常看到你做的菜。只见色，未尝香味。现在没人做女红，都买现成的。
1570626724# #体育如果被政治绑架了，我宁可不再关注体育(NBA)。
1571576319# #拉出去阉了，采用化学阉。跟新浪看热点
1552641534# #我分享了【直播：新西兰清真寺枪击案最新进展新浪直播间】,快来看吧！|
1547308097# #跟新浪看热点普京退而求其次回锅当总理。
