1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1697485454# #比利时布鲁塞尔，这个枪手还没被抓到，已经杀死了两个人。。。不负责任转发
1697923719# #这一次全世界这么多人支持巴勒斯坦，民意转变竟然是：抖音的功劳！。。美国政府最忌讳的社交媒体，美国民众最喜欢的社交媒体，世界网民最推崇的APP。。2023年，美国政府，西方媒体突然发现自己无法控制评论了，所以他们害怕了。2023年，美国民众，世界网民突然发现自己有机会发言表达了，所以大家说了。。
1691596637# #顺手做了一个视频。。魔女屋lyl肖像
1698476891# #我现在已经对西方所有的奖项都不关注了，西方人骨子里的傲慢不需要多一个人去追捧，而明明他们才是落后的文明。
1692084847# #昨天关于夏威夷火灾的原因，都认为是为了土地而来，今天就有受害者收到房产中介的电话了——。这正是我们所说的将会发生的事情。掠夺性的土地掠夺者（我们知道他们是谁）已经试图以低廉的价格抢夺毛伊岛（拉海纳）的土地。。️房地产经纪人、投资者和直接土地掠夺者致电毛伊岛、拉海纳火灾中失去家园的受
1697553606# #犹太人在华盛顿集会，要求拜登政府停止支持以色列暴行。。下面网友说，你想啥呢？拜登是他内阁成员中唯一不是犹太人的。联合国称以色列可能构成国际犯罪。。巴以冲突不负责任转发
1695190277# #日本排放核污水五年之后，会发生什么？。我朋友创作了这样一个短剧，很有意思哈哈哈哈哈哈。。很喜欢喜马拉雅上天有三奇的节目，快来听一听吧（分享自
1693896641# #想象中的神奇树屋——现在AI可以帮你实现你脑海中的世界，所以，我们就看到这一个在希腊克里特岛，一座围绕古树建造的海滩别墅，其内部设计足以乱真。。。魔女屋LYL超话ai绘画
1698322977# #昨天，因为手机被偷，新手机卡还没到，加上家里的内塔尼亚胡给我断网，我与整个世界断联了二十个小时，这期间我和咪蛋一起读了一个儿童故事，虽然录制过程很麻烦，但能够留下她的声音就是最好的。。治愈系小咪蛋超话。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1695649754# #魔女屋LYL超话出生于斯里兰卡、现居悉尼的艺术家拉梅什·马里奥·尼蒂延德兰RameshMarioNithiyendran创作了棱角分明、充满活力的新时代雕塑人像，这些塑像既诱人又令人不安。。他在具象雕塑的背景下尝试形式和尺度，探索性政治、纪念碑、性别和有组织的宗教——他利用粘土作为基本物质的象征意义
1694441397# #这几天看台湾人最关心的是台北大直的房屋直接下沉，塌陷，好像房产公司负责人直接逃跑了，剩下来的居民现在临时住旅馆，都在讨说法，视频我才看到，很惊人。。。不负责任转发
1693396886# #今天是正确的日子来走一遍这首歌，竟然都没传视频上来？？。。林笛原创音乐
1691734046# #纽约时报的观点，手动翻译下！。美国炸弹让伊拉克更强大。炸朝鲜吧，否则就晚了！。炸叙利亚吧，尽管这是违法的！。。不负责任转发
1693196766# #没想到
1697799103# #魔女屋LYL超话19世纪的折叠浴缸你见过吗？。。随着1880年代人们越来越接受日常沐浴，许多人尝试开发创新的方法来加热洗澡水，并将便携式浴缸融入房间环境中。。。Mosely折叠浴缸公司在1895年发布了广告，这个浴缸伪装成一个带镜子的衣柜，向下折叠并从木质外壳中伸出进入房间，露出上面的加热器
1698850304# #妈妈爬排位时你还在吸奶嘴前面几个都是什么爹啊？拿孩子取乐？真想隔着屏幕过去把他们头发拔了怒怒怒
1701942352# #安徽人统领半个北京餐饮圈啊？这，难道北京现在流行吃臭桂鱼，毛豆腐啥的了？哈哈哈
1699192333# #连续四个周末，全世界各地民众继续上街支持巴勒斯坦。混剪了一下这两天的视频。。人数越来越多，抗议拒不停火的以色列政府和美国政府。。你不需要成为一个穆斯林来和巴勒斯坦站在一起，你只需要成为一个人类！。。巴以冲突
1701171899# #据说，黑客们攻击了以色列的网络。。。巴以冲突不负责任转发
1698850380# #美依礼芽新学的中文是猪脑啊这名字咋这么眼熟？直接叫美冴吧，蜡笔小新的妈妈👩🏻嘻嘻嘻嘻嘻嘻
1697915937# #以色列和美帝国的丧钟敲响了
1694065701# #印媒担心巴基斯坦更名叫印度哈哈哈，笑死了！
1698852297# #发布了头条文章：《澳大利亚特产地鹦鹉——绿松石鹦鹉》。。魔女屋lyl
1696319169# #双节假期中坚守是最长情的告白中国的商店节假日都不关门的，对比法国每周一要关门，还有长达一个月的夏季关门，真的在国内每天都可以逛街竟然是一种奢侈。。。哈哈哈哈哈哈
1687969617# #这场关于自由、制度的辩论，观众的投票结果是——力挺中国的贝特朗战胜了污蔑中国的郑国恩。。。不负责任转发
1693034802# #韩媒说日本拒绝他国对核污水直接取样那么多韩国人上街抗议日本排放核污水呢，韩国人民的呼声，他们的总统视若无睹，这位美🐶总统不知道能不能熬过今年年底挤眼挤眼挤眼。
1698444168# #犹太人千年来的历史历程：一段简短的历史，讲述了过去千年来各国人民与犹太人的关系。。1080-被法国驱逐。。1098-被捷克共和国驱逐。。1113-被驱逐出俄罗斯基辅（弗拉基米尔·莫诺马赫）。。1113-基辅犹太人大屠杀。。1147-被法国驱逐。。1171-被意大利驱逐。。1188-被英国驱逐。。1198-被英国
1691345913# #我的小飞船，半夜变身了！。。AI绘画LD原创艺术
1692688786# #我还是第一次听说“功能性文盲”这个词。。不负责任转发
1698475658# #所以，现在以色列在对联合国宣战了咯？
1697367593# #因为加沙断网了，不知道发生了啥，上推一看，这个两分钟前发布的帖子有点奇怪。说是：从加沙往特拉维夫发出了大量火箭弹！。难道哈马斯地下还藏着很多？？？。。巴以冲突不负责任转发
1695398494# #发完这个出去接娃，外面好冷，17度。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1693136977# #球背象鼻虫属（学名：Pachyrhynchus）。象鼻虫科下的一个属，大多数物种都在东南亚岛屿上发现。。它们都长得很好看，这在昆虫界的暗语就是“别靠近我，我很危险！”。球背象鼻虫不会飞，鞘翅完全融合。它们将卵插入植物组织中。然后幼虫将在寄主植物的茎内发育并进食。。。魔女屋lyl昆虫
1696149805# #治愈系小咪蛋超话昨天在狩猎与自然博物馆，咪蛋看到了很多动物的标本，她喜欢的狼，狐狸，各种猫科动物，都让她感觉很震撼。。。水深火热的巴黎
1694366900# #这人是干嘛的？哈哈哈哈哈哈
1696783177# #治愈系小咪蛋超话若干年后，咪蛋会不会记得这样一个星期天下午，她在一本黑底相册上刷刷刷地画小人，我在隔壁卫生间里给画板刷底色，预备给她稍后用。窗外传来四周邻居们载歌载舞音乐声欢笑声，这是巴以冲突第二天，穆斯林居多的大巴黎就是这样一片喜庆气氛。。萌娃萌画带娃日常
1696497729# #一眼望去，都是父母的噩梦！汗生病衰骷髅。日本东京的大久保公园内，站街女。。不负责任转发
1694266625# #张桂梅不甘女孩们重复没选择的一生放心，现在的女孩子们比以前的选择多多了，只要上一代不逼着女孩嫁人生娃，就都活得很开心哈哈哈哈哈哈哈哈
1694362082# #这事是真是假？？？。如果是真的可太牛了！！！。。日本东京新闻：福岛东京电力公司的计算机系统因黑客攻击而瘫痪，日本国内核污水排入大海目前已暂停。。。同时，日本20多家核能网站遭到攻击。他们坚定地强调，海洋是全人类的共同财产。谴责日本政府的行为是对全人类的犯罪。。。不负责任转发
1696419630# #我的十一Plog老子也是会烧猪蹄的人酷酷酷
1694094628# #一年扩一次群？要吃瓜的进
1701073389# #有人说，我不喜欢看这个，但我还是忍不住看，还看完了。。。不负责任转发
1698754953# #论霉油集团如何统治世界。但，在微博没法舆论垄断，只能投诉网友？？？。。以色列拒绝联合国停火决议巴以冲突
1702974843# #日本羊毛毡艺术家YooMoo的作品，特别可爱！。。魔女屋lyl羊毛毡
1692601963# #这是一本由德国的艺术家MartinEngelbrecht马丁·恩格尔布雷希特，在1730年出版的一本手工上色的版画书，里面出现的都是当时的艺术家，工匠，手工艺人，出现在画里的丈夫和妻子都把自己的作品和工具穿戴在身上，非常的有趣。。。魔女屋lyl艺术分享
1694591115# #哈哈哈，原来伯明翰的破产是女性要求同工同酬？。说一个秘密，欧洲至今很多国家都是男女同工不同酬的，比如德国，挪威等哦！。。不负责任转发
1697616901# #英伟达市值一夜蒸发4000亿元希望中国芯片产业繁荣崛起，打破世界的不公正垄断格局，造福人类。
1699028214# #啊这，看点新闻！。。不负责任转发
1693635112# #天哪，这个视错觉化妆师mimles，又被她吓到了！。。魔女屋lyl
1695291163# #推上的美国人，都陷入了深深的恐慌中，今天边境开放，有很多不明身份的移民长驱直入，看来他们内部有很多问题需要解决，暂时不要盯着中国了吧！哈哈哈哈哈哈哈哈。手翻图四：大规模入侵一个国家是战争，一个政府无法保护自己的国家，等同于叛国。。。不负责任转发
1694149173# #老师谢谢你师恩浩荡，遇到好的老师真的会受益终身，也有一些老师直接让我对某一学科反感甚至放弃。少年时代的影响深重，确实可以铭记一生。
1703409354# #发布了头条文章：《平安夜带你认识三种不同的驯鹿》魔女屋lyl动物百科
1691991446# #机翻这个故事——对中国的仇恨影响着所有亚洲侨民。。早前参加洛杉矶音乐节的亚裔大学生布兰登，在场外无故被数人殴打，脸部严重受伤。。他的表弟ChristopherNguyen迄今为止在众筹网站GoFundMe上筹集了约14,000美元用于支付他的医疗费用。。布兰登面部撕裂、鼻子撕裂、面部挫伤和一颗牙齿碎裂。医
1696928107# #啊这。。。应该去加拿大议会唱这个哈哈哈哈哈哈
1693482561# #这是芬兰设计师KlausHaapaniemi一些插画设计！超爱！。。魔女屋lyl插画
1691310632# #谁在匆匆赶路？？。。不负责任转发
1703491417# #呀，以色列居然有很多人自杀吗？。圣诞节po这个有点怕人，不过，加沙的确就是人间地狱。。。巴以冲突
1689761051# #1969年，洛杉矶灰狗巴士终点站的烟灰缸和投币式“Tel-a-chairs”电视椅。。魔女屋lyl
