1647212856# #转就收，不转不主动要，对领导、同事、下属没有分别。
1679503370# #我就喜欢吃青一点的，酸甜味。
1683101688# #艹。。看见这个热搜话题我点进来看，居然是这种女菩萨。。怒
1683555040# #减肥吧。。一肚子寄生虫，肯定迅速就瘦了
1646912824# #所以有的人就是基因里写好的，不适合开车。
1629255521# #原来你知道发生过什么，还能信口开河说再撞大楼，这种行为跟说明年七月五号新疆再有问题有本质区别吗？别解释啦
1672833544# #这个戳看着挺爽。。
1627096920# #真的不是志愿兵？
1645711849# #你怎么知道我叫Honey？害羞
1684035467# #你们都看不见吗？夺好看啊。。doge
1673845938# #就是这个墙角的锅，阻挡了双向视线，这种路口装上红绿灯就会堵到死，不装红绿灯就会永远有事故。
1696208834# #锡宝。。允悲
1691568828# #这有什么争议的，跳得挺好看啊，动作不比黑妞差，颜值甩黑妞800条街。。
1630334560# #哈哈哈哈哈哈
1672586531# #。。。。
1676350302# #中朝也快会面了
1655176816# #不用想都知道这一定会是个鸡肋结局。核心竞争力就是130炮和自动装弹机，至于基础平台。。没有什么不能通过改进现有平台获得，然后你愿意为此多花多少钱？
1670732410# #好奇怪的构造。。
1685917335# #那些觍着脸说别人凤凰男的东西，想得也太多了，优秀到上天的这么一个年轻教授，凭什么看得上你？从空间站回来地球没女的了吗？如果真能看上你他也当不了航天员，首先这视力和判断力就有问题。。
1632971500# #HPV疣状病变的表面结构doge
1684255587# #横向是镜子，纵向只是一些有空隙的薄片而已，这有什么水平？
1666190485# #北京我还有不少空白地。。二哈
1686484660# #指甲能当镊子使。。
1645551021# #那德国人怎么念Beijing？
1683025370# #有罪没罪不知道，他以后倒是也受不了什么罪了doge
1639460007# #14厘米。。还好，压力不是很大doge
1685025406# #韵婷。。起名只管看着舒服吧？敢喊出来吗？怎么听怎么像堕胎药的名。
1674452498# #相声表演一个主要手段就是通过制造冲突抖包袱，所以逗哏如果都哄着来能有节目效果吗？
1650583460# #爱马仕
1646969515# #今天我休息，去物美大卖场买东西，有件事吓了我一跳。。。我正在看洗面奶，然后一个价签就在我眼前数字变了。。闹鬼一样，我猛地抬头，发现周围的几个价签在闪烁。再一回头，看到个理货员正拿着个手持终端修改价格。。。我一直以为那价签是里面塞的打印的小纸片，敢情是类似电纸书那样的油墨效果液晶显示。
1663060777# #含在嘴里怕化了。。馋嘴
1651658242# #见后好相日。。
1642398310# #如果博主描述的情节属实，这就是酒后寻衅滋事，应当行政拘留起步，具体伤情影响裁量，如果真的打了不止一个女性，那么很可能涉刑了。
1693474612# #哈哈哈哈，她很可爱
1658661883# #你说谁流口水？挖鼻
1696555687# #虎力大仙
1670850095# #燃烧室和煤气罐的外壁之间有一个密闭空间，这里面可以装满水，并通过蓝色管子与边上水桶相连。炉子是加热端，水桶是冷却端，一对流，水就热了，水桶换成板状散热器就是土暖气。
1696337726# #到不了刑事，交通肇事罪得重伤以上。
1680971108# #吃了什么不干净东西了吧。。哪儿来的勇气对太原舰（052D）喊话？自己什么档次心里没数吗？
1649765886# #最左边的小哥腿好长。。doge
1670824260# #所以这练出来了，又有何用处？只知道早先欧洲教会小男孩练这个，甚至不惜靠阉割来抑制声带发育。。
1640260309# #AKA卡拉什尼科夫。。
1678776754# #不要高光！不要高光！不要高光！否则，我将放弃入侵你的。。doge
1631787906# #摆拍吧？这个长镜头跟得很带感的。。
1643984325# #这个火炬仪式倒挺新鲜，我当要把这么些国家一把火都点了呢。。二哈
1633794065# #重庆洪崖洞一疑日军雕像遭男孩扇耳光这个话题词乃至这条新闻都有毛病。。这个事件的重点是为什么洪崖洞会有日军雕像？而不是游人如何对待雕像。既然不被允许，那为什么雕像会在那儿呢？“暂未收到报告”。。雕像是谁摆的，管理部门日常不作巡视吗？。。以下是全文：【重庆洪崖洞一疑日军雕像遭男孩扇
1677750893# #还是线上，不够实体啊。。
1656222939# #tán弹，弹球儿，细分叫玻璃花儿。蓝色、绿色单色大个儿的，叫泡（pāo）子，蓝色叫海蓝泡子，绿色叫绿泡子，棕色的叫酱油泡子。
1629194875# #中国这么有闲心管美军，拜登又如此听话，然后撤走阿富汗驻军，留着驻韩、驻日美军解闷儿？
1655943034# #摘下来就不变了，一戴上就变，量子力学
1640251821# #吉尔算彻底被你们玩儿坏了，不过这个小蜜蜂很可爱。。开学季
1635221220# #后续更牛❌。。good
1634705639# #摔降与飘降的区别，貌似没有退出下滑道飘平这一环节。。
1688713625# #这一嘴的獠牙。。
1690162611# #不是萨姆6，就是红旗2。
1669355555# #谐音猪
1672240469# #气罐爆了吧。。
1630105245# #别说赵薇，你都可以。。
1627318242# #埋！太开心
1664026164# #比赛时候能使出这种招来。。这水平差异得多大啊？哆啦A梦吃惊
1646110525# #大陆打车不需要钱，得准备好草料，然后去牲口市，单人雇驴，几个人雇马车，拉货雇骡子车，一里地一个人一斤草料doge
1668699016# #中国人靠盘，外国人靠胶doge
1686891022# #这个真不容易了，目前的颜值主播，这仨问题问10个至少得有8个答不上来。
1660384763# #为什么要踩扭牛？悲伤
1696144086# #画这个图的人，一定看过现代（西方）地图上北下南的规格标准，所以。。。
1630227236# #这两天杭州郑女士莫名其妙火了，。“郑女士说的都是对的”成了热梗，。还开了dy账号，据说几天粉丝30万。。看这段视频觉得有点眼熟，。在微博搜了一下原来她上过1818黄金眼，。因为智能锁移机问题上媒体维权，。因为身材姣好胸部傲人，。被很多网友评论“郑女士说的都是对的”。这也能出道。。傻眼
1686636500# #波音卖给台湾阿帕奇，GE给台湾F16提供发动机。。
1676104820# #嗯，演得好也是错，老百姓向来是非不分。。doge
1684415445# #你看大爷戴那手套。。doge
1673921342# #给名著以动画，而不是给动画以名著。
1679799059# #对，美。。美来西亚国doge
1673973311# #70年代二次元。。
1686744050# #没有必要，如果是我我不会接受调解，寻衅滋事行为也不适用治安调解，我一分钱不要，拘人吧警察叔叔。。
1682336973# #韩国《无间道》
1677084346# #必须压脖子，但肯定不是往死里压
1673783708# #这得多少蚊子啊。。
1636827753# #我想知道“当事人”、“该网民”、“该群众”是不是一个人？如果是为什么要用三个称呼？如果不是那么这篇通报语文就不及格。
1692690340# #7、80年前，香港的印度巡捕。。。
1650439805# #牛了个❌！
1649779763# #好色情的斯芬克斯。。
1662808910# #还剩一个。。
1661915718# #远程反辐射导弹，可以用来反舰。
1671018396# #毛腿夜煞
1681028407# #徐江滤镜？
1637740837# #李老师说的有道理，这个行业协会发这个通报，更直接的目的恐怕是切割与自保。这个行业如果能够自律、以我管理，也不会发生那么多的问题。
1674407186# #或者只是为了截掉两侧入画的穿帮景物doge
1629538602# #吃相，吃象。。
1697296302# #他跟中国只能这么说，他怕中国照方抓药干台湾。
1624713663# #认不出来了，请大神齐老师认一下吧。。
1674043345# #别人是去住院的，你是去救爷爷的？哆啦A梦吃惊
1659703379# #买卖来了。。
1689071863# #“只要长官敢下令，我就会毫不犹豫的把大陆的歼20击落！”因为她准知道长官不敢下令。。
1647681510# #枪鱼？剑鱼？还是旗鱼？
1626666433# #是不是还有鸟类拟人图？
1667311865# #56了已经，不管现在多有钱，恐怕年轻时候穷过屈过，想美没条件憋坏了，总算翻身乍富。。。何苦来的？
1680105524# #不是针对乌克兰，我是说在坐的欧洲各位，都是乐色，包括俄罗斯。
1696247784# #脆肉鲩都有了，离韭菜鸡蛋馅儿的月饼还远吗？馋嘴
1627002978# #子贡赎人，坑人输入法。。汗
1637598346# #嗯，一看就是徐浩峰的东西。
1694926173# #张敏、利物浦都好！
1641641846# #拿偏光膜做副眼镜就得了。。
1646104176# #好包袱儿！
1680959328# #牛的甲沟炎，我得甲沟炎的时候，肿地方也会流出汁。。
1684740523# #真是猪老师。。哆啦A梦吃惊
1640573641# #doge
1670143697# #磁性玛尼轮。。doge
1637829880# #把印度人的头用两块夹板左右固定住，使其不能左右晃动。。就像意大利人被上了背铐。
1658362973# #擦。。有点真假莫辨
1637940443# #找个富婆说：阿姨，我想吃肉肉
1647943828# #拳师们这会不发炎了？
1673258435# #擦。。。敢情是特么生的汗。（等解冻煎一下子试试吧）
1674361588# #感谢帝国主义，近几十年对年轻一代的爱国主义教育，它们帮了不少忙。
1639762630# #不写着呢吗？R36上的vr6啊。。
1643429642# #某些媒体什么立场？。“虎虎虎”这个代号代表什么不清楚吗？。我们不怕任何人任何事，。但不代表可以没事找事，寻衅滋事。。为了眼球流量赴会名词，小心底裤着火！
1662474625# #这角度准了。。
1681120967# #速生白毛杨，因为成材快。
1664522998# #这内心戏。。“论如何把一个小故事说得很色情”doge
1631716764# #他们的执法环境这么好吗？怎么敢这样干。。
1678545590# #说起来那还是在上次。。doge
1669196398# #阿S嫂：他们，到底是姓J还是姓汪。。思考
1627723604# #你是不是对中国话并不了解？
1637175480# #好功夫！一张没被夹
1668602986# #我还纳闷郭德纲管信叫哥哥呢，一查妈呀，苏见信1971年的，比郭德纲大将近2岁。。
1640094963# #这口才啊。。
1642581636# #一摆臀就恶俗了。。
1671497894# #“强化了希尔德女士对法律体系对正义的缜密追求的承认。”这句我特么读了5遍，还是没弄明白什么意思。。拿我们的话来说，是不是“拿起法律武器，好好地教育了XXX”？
1692435486# #玛德老棺材瓤子，怎么还不去死。。
1679209062# #真好，可以挂装备
1679042523# #橡胶碗的腔体，越打孔径越大，消声效果越差。
1684623977# #说实话，我做不到
1636273798# #找个自己觉得量级够大的V，本想引战，结果发现手背上了。。二哈
1637492323# #这只虾确实有点空，否则波龙的大钳子肉是享受。。话说中间那个女同志为什么全程戴口罩？吃东西都不摘？
1669691929# #抽我！doge
1647561817# #这么背枪怎么打？
1651459970# #属。。。属实哆啦A梦吃惊
1648900651# #以后再拿手机堵着脸照就不转了doge
1656949029# #那自然是：美队的屁股小蜘蛛的腰，毒液的舌头星爵的膘，雷神的肌霸洛基的骚。doge
1655305532# #但是情报还是比较准的，比如一开始警告俄罗斯不要动武，被俄罗斯当笑话怼回去，然后没过多久俄罗斯真的动武了，所以这次。。doge
1624763391# #老奔驰E的动力、操控还是相当可以的，要想飘起来得断掉TCS牵引力控制，那时的车ESP还不是标配。doge
1635767921# #卫生纸？？？在三哥国不存在的
1691200882# #大哥我这是假的你摸我这儿。。？二哈
1663846642# #熊二还是范厨师的口音？
1670737252# #只摸下巴么？
1636638906# #那属实挺危险
1656000602# #在水底以40公里每小时的速度行进？你猜有人信吗？
