1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1701737475# #30万买编制未果起诉要求退款被驳回蜡烛蜡烛蜡烛阿弥陀佛！这事还有后续……
1688247796# #官员抖腿接受央视记者采访反问＂多宣传好的不行吗＂
1693735298# #女孩被男友嫌胖从115斤瘦到68斤这种瘦身是以健康为代价，女孩身边的人没有提醒过她？？
1697068729# #中学查分数和错题需在APP付费把教育产业化发挥到极致，赚钱才是硬道理。
1698931395# #官方回应副市长与女同事暖昧🙏🙏🙏阿弥陀佛！
1691444404# #八名游客被困青海无人区断水断食八个人有老有小去无人区，他们有什么想法？？
1703925677# #缺德标语蜡烛蜡烛蜡烛阿弥陀佛！
1695598184# #官方通报校长和主任外出考察同房过夜乌纱帽丢了，往日的风光没有了，和谐的家庭也……
1702079741# #官方通报警务辅助人员称要查网友个人信息🙏🙏🙏阿弥陀佛！
1694678735# #黑龙江漠河正式供暖最近这几天早晨出去锻炼穿夹克衫感觉有些冷。
1693098129# #窃贼当场被抓才知道是派出所门口到了入狱的日子，必然鬼迷心窍。
1692842632# #吉林电信回应出卖8000万手机号传闻谁说的8000万，这个数字是怎么来的？
1689878888# #西安通报中考回流生事件🙏🙏🙏阿弥陀佛！
1695629234# #网曝校长与副校长不雅聊天记录这样的环境会不会影响学生？？
1691471617# #女孩18岁成人礼被男友带去吸毒用交女朋友的方式发展下线，这样的毒贩怎么处理？
1693180681# #2游客被终生禁入成都大熊猫基地应该把这两人的照片挂在大熊猫基地的门口。
1699259194# #女生称生病拒绝周末无偿加班被辞退公司老板觉得让员工无偿加班是给员工福报。
1689925673# #男子穿漏洞鞋开车被扣3分罚100罚款才是硬道理。
1692230304# #广西北海最右不明生物，哪里来的？
1698872727# #街道办通报新白菜剁碎凑厨余🙏🙏🙏阿弥陀佛！
1692350934# #警方通报主播直播时编造被绑架编造绑架的视频主播账号被封禁，视频平台没有责任吗？？
1700600602# #11月22日早报。1.国足遭遇点球误判，世预赛0-3不敌韩国，孙兴慜两射一传。2.公安部：打击缅北涉我电诈取得显著战果，累计3.1万名嫌犯移交我方。3.从钱塘江桥上跳水救人的外卖小哥彭清林被浙江省政府记一等功。4.湖北襄阳健桥医院违规开出生证被罚款10万元。5.江苏发布电梯安全状况报告，首台电梯已87岁
1696057687# #兰州一中学被曝两老师深夜围殴学生老师不断叫嚣“往死里打，打死了送医院。”直到次日凌晨1时20分才离开。
1700438889# #美国两家境外银行卡清算机构已获批进入国内市场蜡烛蜡烛蜡烛阿弥陀佛！
1688421823# #沪上阿姨回应一杯开水卖10元开水免费，杯子10元。肚子疼急需开水而忽略了杯子需要收费。
1698989455# #助学金事件当事人称已搬离宿舍🙏🙏🙏阿弥陀佛！
1701121801# #11月28日早报。1.广电总局：有线电视终端系统默认设置应为开机进入全屏直播。2.王毅将主持安理会巴以问题会议，外交部：望推动各方凝聚共识。3.陕西西安一19岁男生碳酸饮料当水喝长5厘米痛风石，一天至少4到6瓶。4.4名中国留学生在加拿大车祸身亡，中国驻多伦多总领馆紧急处理。5.山东今年破获电诈相关
1693954502# #女子因常遭丈夫家暴将其勒死获刑15年常遭家暴没人管，因反抗……。这和被打的时候还手算互殴……
1697199270# #武汉大学对肖某某记过处分学校对流氓学生记过处分，会有人庆祝吗？
1692254421# #判决书上网致被性侵少女信息泄露受害人信息被泄露和犯罪分子是公职人员有什么连带关系吗？？
1689113664# #天价寻狗系自媒体杜撰会如何处理？罚酒几杯？
1703111308# #女子起诉父母不肯出钱给自己出国留学在孩子小的时候无底线的顺从孩子，现在孩子长大了……
1703827063# #女子急诊科猝死家属质疑护士玩手机蜡烛蜡烛蜡烛阿弥陀佛！
1695351158# #儿子监狱服刑母亲骗领国家工资41万局长一句话，局长身边的狗腿子立马执行。
1695720631# #江西一国企领导称要取消周末在话题后面看到有人说劳动法，劳动法是什么？？？
1701206372# #当地教育局回应安排问题学生转入引罢课蜡烛蜡烛蜡烛阿弥陀佛！
1689987584# #西安调查组对3608名回流生信息逐一甄别13个人做了这么大的事情，真的是道高一尺魔高一丈？？
1690376798# #网民造谣小学生被碾身亡其母收260万一定要造谣的人付出代价。
1689786704# #记者解剖鸭头剥出巩膜🙏🙏🙏阿弥陀佛！
1693054183# #北京一产业园区突遭腾退不退租押金🙏🙏🙏阿弥陀佛！这物业……
1699579939# #学生状告老师剽窃科研成果案终审胜诉如何看待老师剽窃学生科研成果高尚的老师成了下九流的窃贼。
1695262246# #警方介入女生称实习被安排为男宾洗澡🙏🙏🙏阿弥陀佛！
1697574928# #博主回应100元吃遍东北早市先说谎，过几天再出来后道个歉……
1702296876# #吉祥航空被指偏袒外籍旅客员工停职→→吉祥航空表示，目前对该涉事工作人员已做停职处理。
1701985315# #三问江西福彩2亿大奖事件蜡烛蜡烛蜡烛阿弥陀佛！
1700796295# #杭州中考指定跳绳一根78元教育产业化，发财才是硬道理。
1700110426# #山西永聚煤业火灾已致11人遇难🙏🙏🙏阿弥陀佛！
1690014362# #西安警方抓获造假回流生嫌疑人10名🙏🙏🙏阿弥陀佛！
1694204918# #男子隐瞒传染病还嫖娼妻子起诉离婚被驳这里面是否有孔方兄的身影？
1690287940# #刀郎新歌被指内涵四位明星挺好的歌怎么又扯上明腥了？
1701210310# #北京要求一切以孩子身体为重🙏🙏🙏阿弥陀佛！
1696559306# #迷笛音乐节组委会称不希望地域攻击蜡烛蜡烛蜡烛阿弥陀佛！
1702940083# #管清友称股市不要盯着3000点蜡烛蜡烛蜡烛阿弥陀佛！
1694894904# #9月17日早报。。1.四川一医院退休院长贪腐细节：8车7房600万现金，“有保时捷、奔驰”。。2.被骗缅甸中科院博士：曾被打近百棍，诈骗园区更关注反诈新闻。。3.租赁公司跑路房东催收房，西安200余租客房租未退被迫搬家。。4.湖南一4岁男童撑伞从26楼跳下奇迹生还，医生：或因树木缓冲保命。。5.大连警方通报
1704003340# #茅台集团年利润首破千亿元2023年，茅台集团预计实现营收1639亿元，利润总额将首超千亿元。
1698043017# #19岁儿子将妈妈所存50余万转给女友通过法院要回剩余款项，如果不是法院帮忙💰别想拿回来了。
1693819670# #一杯酱香拿铁含约2毫升茅台酒分享网友的精确计算。
1698871600# #11月2日早报。1.奥预赛中国女足1-1战平韩国，意味着中国女足继2012伦敦奥运会后，无缘参加巴黎奥运会。2.新疆自贸试验区挂牌成立，成为我国在西北沿边地区设立的首个自贸试验区。3.中国第40次南极科考队犁海出征，将建设我国第五个南极考察站。4.重庆官方通报多名小学生被老师扇耳光，扣除教师绩效、取
1701901990# #17万二手车买家大方给了20万现金骗子泛滥成灾，为什么会这样？？
1689761367# #宁波一教师被指长期虐待学生老师虐待学生，还是长期的那种。法律呢？
1695250919# #大学生打工半月仅赚100元崩溃打人检察官也提醒求职者，在求职时对公司做好背景调查，明确其是否有经营资质、经营状态、经营范围、司法风险等，在签合同时，务必仔细查看、阅读，明确合同中的权利义务。👈🏿这些事没人管吗？？
1694991896# #将19310918牢刻在心1931年9月18日晚10时20分，日鬼炸毁沈阳柳条湖附近的南满铁路。却反诬中国军队所为，炮轰北大营，开始了蓄谋已久的侵华战争……
1702767375# #女子遭丈夫打断腰椎住院后被砍数刀这次能解决吗？
1698942475# #11月3日早报。1.李克强同志遗体在京火化，习近平等到八宝山革命公墓送别；天安门下半旗悼念。2.杭州和武汉冲击两万亿俱乐部，三季报出炉后杭州略领先武汉。3.美加军舰过航台湾海峡，东部战区全程跟监警戒，依法依规处置。4.大连一女孩从200斤减到只剩50斤两进ICU，靠粪菌移植挽救生命。5.国航一航班在
1701122512# #女娃学走路突遭2狗扑倒蜡烛蜡烛蜡烛阿弥陀佛！
1696922637# #文体旅局工作人员则承认涉事摄像头系该单位安装，理由是保证工作人员安全及防止车辆剐蹭，且是先装的摄像头，后才有举报箱。监督文体公众
1701640889# #教师长期强奸5名女学生被执行死刑🙏🙏🙏阿弥陀佛！教师长期强奸女学生……
1696470238# #南阳音乐节盗窃事件的最大启示🙏🙏🙏阿弥陀佛！
1692223979# #如何识别缅北电诈套路铲除电诈团伙与识别电诈套路哪个简单？？
1699497479# #曝佳木斯体育馆遇难者母亲讨说法遇难学生母亲讨说法：“我现在就跟丈夫离婚，跟孩子舅舅断绝关系，孩子是我生的，拿工作压我不管用。”是什么人给遇难孩子家长施加压力？？
1688854352# #女子找手机全飞机乘客干等3小时究竟是怎么回事？
1692869584# #多平台食用盐显示缺货2011年3月份福岛地震后商店里的食用盐被抢光，今天福岛放坏水，食用盐又开始缺货。
1691140754# #牡丹江遭洪水袭击有房屋被整栋冲走🙏🙏🙏阿弥陀佛！
1690252758# #齐齐哈尔教育局距坍塌体育馆仅49米距离49米，距离4.9米又如何？？？
1697705339# #90后考上公职3个月开始贪污获刑3年刚进入职场三个月就贪污，是环境污染？还是家族遗传？
1693012562# #记者采访祖坟被挖事件遭扣留，当地回应社区北宁清泉镇
1697390057# #10月16日早报。1.受到安全威胁，法国凡尔赛宫和里昂火车站进行紧急疏散。2.江苏警方回应“南通某船厂发生爆炸”系谣言，造谣者被行政处罚。3.黑龙江一旅客列车运输中因工程车倾覆侵入铁路致列车脱轨，无人伤亡，已恢复通行。4.安徽宿州村医追刺民警被开枪击中后身亡，事发当天与妻子吵架。5.国手王楚钦
1691275412# #聊城通报“城管拔走小贩车钥匙被民警要回”：城管停职执法视频行政
1697485631# #人民网评2岁女童被恶犬咬伤蜡烛蜡烛蜡烛阿弥陀佛！要杜绝这种养狗遛狗不栓绳的事情。
1691012823# #驾校教练被曝猥亵女学员9分钟这个老流氓家里有女孩吗？
1694604101# #北极鲶鱼事件交通局答复是否有法律依据树大根深，搬不动。
1702915536# #12月19日早报。1.美方再次宣布对台售武，外交部回应将对参与企业采取反制措施。2.南京一辅警雪中保畅不幸殉职，事发地距家门口不到一里路。3.宁波一家长因退费纠纷遭幼儿园起诉索赔超百万，园方回应家长恶意发帖。4.福建漳州一男童被小区高空坠物砸到，经抢救无效身亡。5.湖南湘潭女子被德牧犬咬伤，犬
1703137371# #淄博烧烤店2名男子殴打女店员被刑拘酒后这个词真好，能遮羞，能替罪。
1691660884# #网传乳腺外科医师搜出1.5亿不实网传“朱某某被查，抄家1.5亿、20套房子、4000万现金、30斤黄金……”严重失实！。真实的是……你猜……
1691007937# #8月3日早报。1.北京本次降雨为140年来最大降雨；浙江公羊救援队出动直升机救援：13名涿州居民获救，含一名婴儿。2.财富世界500强揭晓：142家中国公司上榜，宁德时代美团等7家新晋级。3.山东舰穿越台湾海峡画面首次公开：4架歼15挂弹起飞。4.香港高校陆续拥抱ChatGPT，暑期忙于筹备新学期变革。5.成都大
1695415063# #教育部称对预制菜进校园持审慎态度谁来说说预制菜里面包含多少种添加剂，对人有什么影响？？
1692396963# #男孩关心被砸玩伴反遭其家长掌掴这件事告诉孩子不能有同情心。
1698742714# #数百个非法气象探测站点向境外传输数据发现数百个非法涉外气象探测站点实时向境外传输气象数据，广泛分布在全国20多个省份，对我国家安全造成风险隐患。
1689545935# #湖南通报微信群不雅信息事件被盗号，造成的影响谁来负责？能让微信给个说法吗？？
1693383164# #保安劝阻女孩正确停放单车位置遭打骂这么霸道？她的家长不担心她的安全吗？
1697262394# #武大被骚扰当事人回应肖某某记过蜡烛蜡烛蜡烛阿弥陀佛！！【如果没有很多人的帮助，仅凭自己无法做到今天的结果】。
