1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1699191642# #MicroStrategy首席执行官MichaelSaylor表示，比特币为企业提供了一种创新策略来保存资本并创造股东价值。他指出，企业可以通过使用比特币来利用其资产负债表，并摆脱昂贵的收购、回购、股息和债务的破坏性循环来实现这一目标。
1662210104# #世间皆苦，巴黎贝甜！
1676763659# #“互联网之父”Berners-Lee称今后每人都有一个类似ChatGPT一样的个人助理
1694729152# #大饼比秃守住了颈线24800，目前反弹至26500附近震荡。
1657788412# #银行监管贷款资金失职
1675975882# #降息、降首付、降购房条件，焦灼地翘首以盼老百姓接盘房产。
1668652195# #上证指数跌破5日均线
1699039265# #大饼比秃在高台上，涨一天跌两天，形成日线级别的门型结构，日kDJ死叉，料将调整一段时间再突破。
1686520855# #全电发票，是全要素数据化的电子发票简称。
1689530263# #古代嘉定县衙门所在地，青砖绿瓦小桥流水，一边办公一边休闲，办公环境真好。
1661207016# #8月22日，上证指数报3277.79点，上涨0.60%，成交额4276.53亿。。深证成指报12505.68点，上涨1.19%，成交额5987.05亿。。创业板指报2779.02点，上涨1.64%，成交额2009.13亿。。总体上个股涨多跌少，两市超2900只个股上涨。沪深两市成交额10264亿，较上个交易日缩量938亿。。板
1665694703# #早ﾉ☀。布施的内涵，除了物质，还有善言善行。
1686214367# #街道办“反对”股票允悲
1675887212# #隔夜美股三大指数集体收跌，目前三大指数在5日均线之下。。比秃币跌落23000整数关，但仍在17000～22000箱体成本上方。5日20日均线、日kDJ、日MACD处于死叉状态，7天周技术指标则处于金叉状态，月kDJ低位金叉。因此，短空调整，长期看多，逢跌分批进现货，静待花开。
1676215076# #据悉，萨尔瓦多持有2381枚比特币，平均购买价为43357美元。尽管该国已投资了103,233,360美元，但目前这些比特币的市值仅为5159万美元，这意味着损失超过5100万美元。在去年11月比特币触及15500美元的两年低点后，萨尔瓦多总统NayibBukele宣布，该国将从2022年11月18日开始每天
1658868095# #早ﾉ☀。☼⛅☼。ᵕ̈ᴹᴼᴿᴺᴵᴺᴳᵕ̈。把身体照顾好，把喜欢的事做好⤵
1659664133# #加密钱包有两种类型的存储选项，“热”存储和“冷”存储。热存储是连接到互联网的应用程序或平台，而冷存储是离线存储，通常通过U盘等物理设备进行存储。
1657147870# #太湖美，太湖水真凉爽。
1677880155# #隔夜美股三大指数继续大涨，收复10日均线。。比秃大跌破位20日均线，颈线21300附近是强支撑，若有效击破，则反弹构筑双头，春季攻势结束，若获得支撑不破，维持相对“高位”震荡，企稳后再伺机进攻。
1682159936# #恐怖
1681417905# #赞作揖
1675606916# #猜灯谜，闹花灯。
1666219578# #韩国分析公司CryptoQuant的首席执行官KiYoungJu分享的截图显示：10月18日从Coinbase交易所转出近48000枚BTC。。KiYoungJu表示，所有这些加密货币都被金融机构从钱包中转移出来，按当前BTC/USD汇率计算，这相当于近10亿美元。该比特币已交付给机构客户。KiYoungJu还附上了10月份
1672199238# #其貌不“阳”允悲
1690813337# #发现网络上还有这样解读罗刹海市的。罗，罗林，刀郎原名。。刹，杀，用刀。。海，三个公的一个母的。。市，卖出去。
1691844077# #俱往矣
1682984384# #旅游季节，旅馆“大厅睡沙发”99元真的？
1681610367# #微风往事如烟
1658493103# #林志颖车辆失控自撞起火
1664683526# #核战争的危害
1699154362# #峥嵘岁月
1679959309# #美国商品期货交易委员会(CFTC)起诉Binance及其创始人赵长鹏通过故意不透明的共同企业运营Binance中心化数字资产交易平台以及许多其他公司工具，被告选择故意无视《商品交易法》CEA的适用规定，同时参与有计划的监管套利策略以谋取商业利益。赵长鹏作为Binance的所有者和首席执行官掌控全局。
1678409461# #无可奈何花落去，似曾相识燕归来。币圈落花流水春去也。
1703198347# #平台酝酿突破，日KDJ金叉助攻比秃技术指标
1692579354# #政策发力点应围绕“保、松、降”三个字展开。“保”即保房企资金链、保交楼；。“松”即放松一切制约房地产市场健康发展的行政性干预政策；。“降”即降低购房成本，包括降首付、降税费、降房价。特别是降房价，应当给予开发商更大的自主定价权，允许开发商以降价促销的方式展开自救，以尽快回笼资金。（
1696504488# #许家印谈房产的困境。房产的困境是因为房价不能上涨，房价不能上涨的原因是经济不发展，经济不发展一是疫情造成，二是西方敌对势力对我国的围堵。
1686010587# #林青霞约请莫言到其香港的半山豪宅吃饭。两位祖籍都是山东，林青霞山东莱阳，莫言山东高密，两位也是同一年龄段的人，林54年出生，莫55年出生，一对姐弟，“老乡见老乡”，喝茅台，吃水饺，谈山东故乡，说影坛文坛趣话，可谓才子佳人，半山双雄会，成人生一大快事。
1679256227# #夜间，比秃币突破28000，截止到目前，打出本轮春季攻势的高度28376。
1693091241# #一俄一倭，始终对华是巨大的威胁。。。俄“要地不要人”，几百年来侵华占领400多万平方公里领土，上面的华人几乎屠戮殆尽，如俄国史学家记载的海参崴、江东六十四屯大屠杀……比小日本的杀戮有过之而无不及。上世纪六十年代中苏翻脸对抗之际，要不是美国佬的出面阻止，俄国人居然丧心病狂要对中国使用用
1676155405# #比秃币继续在17000～22000箱体内偏上区域震荡。虽然短期涨势受阻，支撑长期看多的信念有二，一是四年一度的减半周期性行情，二是月K线对应的成交堆量显示有巨大的资金在箱体范围内进场。
1665562389# #ZF回购商品房，左手到右手，库存还是摆在那儿，没有被消化掉。
1680777875# #我国的加密货币政策一共经历过三次重大调整。（转）。2013年12月3日中国人民银行等五部委《关于防范比特币金融风险的通知》明确了：“比特币应当是一种特定的虚拟商品，不具有与货币等同的法律地位，不能且不应作为货币在市场上流通使用。”。2017年9月4日，中国人民银行等七部门《关于防
1682796960# #比秃币在29000上方慢慢磨，振幅微小，等待拉升契机。
1656891210# #美图港交所公告显示，预期截至6月30日止六个月可能录得约人民币2.749亿元至人民币3.499亿元之间的净亏损，较2021年同期增加约99.6%-154.1%，净亏损预期增加的主要原因为已购买加密货币减值。
1661557205# #隔夜美股三大指数暴跌，日K线以“断头铡刀”迅猛击穿5日、20日、半年线，日均线、MACD、KDJ“三死叉”，三大股指短期被空头控制。
1665179065# #隔夜美东时间10月7日，美股三大指数集体收跌，5日均线弱不禁风，而且都是放量跳空低开低走，形成“岛型反转”，开启跌势。
1671221713# #美股三大指数都处于5日20日均线死叉、kDJ死叉、MACD死叉状态，“三死叉”杀伤力很大，需要停止加息或者经济数据的向好的预期，才能止跌企稳。
1667865436# #隔夜美股三大指数集体收涨，但强度不一，道琼斯＞标普＞纳斯达克，道琼斯最强。
1660604797# #8月15日，上证指数报3276.09点，下跌0.02%，成交额3872.58亿。。深证成指报12460.22点，上涨0.33%，成交额5890.51亿。。创业板指报2718.59点，上涨1.03%，成交额2028.47亿。。总体上个股跌多涨少，两市超2300只个股下跌。两市成交额9764亿，较上个交易日缩量231亿。。盘面上
1672616492# #遍地是🐏，出门不得不小心翼翼，
1690688060# #人在戏中游。——急停按钮是救人的，可能会废了正在加工的加工件和刀具；手握电烙铁直接是废了手可怜。工匠导演真是牛👍赞赞赞赞。。——这块电脑主板的焊点都在背面，手工焊接应该只是在修主板。电路板都是自动化焊接的，手工焊接相当于回到了“农耕时代”允悲允悲允悲
1702356652# #赞
1663627583# #隔夜美股三大股指反弹微涨，但仍然受制于5日均线，上方5日20日60日均线死叉构成“死亡谷”巨大压力。
1667328432# #早ﾉ☀。新冠核酸大筛，昨晚有，明晚还有，……。这里附近的学校停课一周，在家网课。
1680129090# #数据显示，按市值计算，比特币今年上涨了近72%，至28500美元，这是两年来最大的季度涨幅，使其市值升至5420亿美元。以太坊的季度涨幅有望达到50%。此外，金价上涨了7%以上，而以科技股为主的华尔街纳斯达克指数上涨了15%。
1655859767# #如何调整好心态：位置认同！
1658532274# #7月22日，上证指数报3269.97点，下跌0.06%，成交额3835.76亿。。深证成指报12394.02点，下跌0.49%，成交额5578.39亿。。创业板报2737.31点，上下跌0.51%，成交额1871.98亿。。总体上个股跌多涨少，超2700只个股下跌。两市成交额9414亿，较上个交易日缩量1467亿。。板块方面
1694837284# #今年的9月16日是第23个全民国防教育日。上海防空警报试鸣安排在9月16日上午11时35分至11时58分进行。。防空警报
1663189583# #隔夜美股三大指数集体微涨，但K线看起来像下跌中继，5日、20日、半年线已经构成“死亡谷”，空头下压态势巨大。
1659038465# #早ﾉ☀。孤独是生命的常态，成功属于孤勇者。
1685850456# #树上有鸟
1670653936# #再回顾一下，钟南山和张文宏的
1666384969# #隔夜美股三大指数集体大涨，涨幅都在2%以上，成交量也放出来了，反弹有力度。
1665818415# #修改一下鲁迅先生小说《孔乙己》税务版😂。……孔会计一到店，所有喝酒的人便都看着他笑，有的叫道，“孔会计，你兼职会计的企业又被税局罚款啦”。孔会计不回答，对柜台说，“温一碗古越龙山，要一碟花生米，一碗拍黄瓜。”便用微信扫码付了钱。。他们又故意的高声嚷道，“你
1660430757# #快速的轨迹拐点，是避险和生命的延续。
1689215102# #倚叶和羞笑。萌宠的日常萌宠狗狗治愈不开心
1657752033# #科技教育司：最新研究结果显示，常温条件下新冠病毒在大部分物品表面存活时间短，1天内全部失活。
1677096420# #隔夜美股三大指数继续下跌，虽跌势趋缓，但仍有下跌动力。今年上半年美联储鹰派不时放风，继续加息的火力十足，造成股市的震荡和下跌。
