1691455439# #涨知识good
1702297800# #网友投稿：这位女子的脑回路也真是杠杠的，还不赶紧把孩子抱出来，离开那个现场，竟然还关上门儿黑线蜀黍说安全下雪
1689031500# #网友投稿：电动车闯红灯被撞飞。🙏蜀黍说安全
1694309533# #驾照考试科目一考考你：这个标志是何含义？费解蜀黍说安全
1691726403# #网友投稿：电动车在货车盲区穿行，结果被压。你认为货车司机有责任吗？衰蜀黍说安全
1699401600# #请您停留1秒钟，为伟大的科学家点赞赞赞赞。程开甲是中国核武器研究的开创者之一，在核武器的研制和试验中作出突出贡献。被国家授予“两弹一星功勋奖章”，2013年获国家最高科学技术奖。。”中国核司令”程开甲，一生为国铸盾！苦干惊天动地事，甘做隐姓埋名人。我们缅怀他，向他老人家致敬！这才
1695094201# #又菜又爱玩，高速路上如此左右穿插太危险，不具备条件请勿强行变道...衰蜀黍说安全
1701930246# #允悲
1691229602# #网友投稿：老人开着代步车拦截婚车，这也太无法无天了吧？费解蜀黍说安全
1703908801# #老太闯红灯被撞半死，家属向司机索赔百万，交警直言：一分不用赔。汗蜀黍说安全
1698888601# #网友投稿：雷克萨斯错过路口还在那犹犹豫豫，有些人真的不适合开车汗蜀黍说安全微信转账
1692452663# #网友投稿：一个石柱居然导致多辆车发生刮擦，所以这个石柱存在的意义是什么？费解蜀黍说安全
1691499601# #网友投稿：这些车主咋想的？三辆车开进海里想洗个车吗？最后没办法找个挖机拖上来的……允悲蜀黍说安全
1688814000# #网友投稿：女子骑车逆行进入道路被撞飞，出租车司机未观察道路被罚200负次要责任。衰蜀黍说安全
1688007872# #驾照考试科目一考考你：下图哪个交通标志表示禁止车辆长时间停车？费解蜀黍说安全
1702294201# #网友投稿：这种情况谁的责任？哆啦A梦害怕蜀黍说安全
1692504003# #网友投稿：看不看车内后视镜的差别……那辆白车是真厉害呀，一下就给躲开了！费解蜀黍说安全
1689058800# #网友投稿：摩托车右侧超车停在路口，视频车想右转过不去，如果你是司机你会怎么做？费解蜀黍说安全
1688087507# #也许是一个感人的故事。。。吃瓜
1693924202# #网友投稿：美女的脚放在对面坐位上，俩人就吵起来了。汗蜀黍说安全
1695718801# #年轻人的脾气就是爆。允悲允悲允悲蜀黍说安全
1703214001# #网友：还好，我担心的还是发生了！允悲蜀黍说安全冬至
1693362189# #驾照考试科目一考考你：在图中位置停车会被记几分？费解
1702530002# #网友投稿：这人是喝多了躺在路中间？小车也是挺倒霉的……晕蜀黍说安全
1700269054# #这老师和学生都好牛good
1702521349# #实线变什么道
1690376401# #10几个大妈霸着扶梯排队拍视频，别人想乘她们还拦着不让乘。网友：踏马的退休金拿太多，吃太饱撑的。费解
1703730638# #确实如此
1691208002# #网友投稿：台风天，男子为了流量冒险在钱塘江边直播，多人怒吼不要命了。费解蜀黍说安全
1696924801# #网友投稿：奥迪A6L停车被误会成酒驾了，不过现在好像查酒驾的频率很高，已经不分白天和黑夜了，安全驾驶，请勿酒驾。费解原来不上班烦恼也挺多八天假期很短七天连班很长蜀黍说安全
1694133877# #驾照考试科目一考考你：驾驶机动车发生交通事故，仅造成财产损失的，但是对交通事故事实及成因有争议的，应当怎么处理？费解蜀黍说安全为什么很多人买了车不开
1693011601# #白车倒车一半已经停进车位，遭女子人肉占车位，还叫嚣“不服撞我”，警察到后要求查看监控，对方理亏离去，结局舒适了。允悲蜀黍说安全
1701093601# #【东北小伙凌晨醉卧雪地幸好的哥发现】近日，黑龙江大庆，一小伙凌晨醉酒后睡在雪地里。的哥陈师傅正在载客，发现后立即停车，将小伙扶进车里。民警和急救人员随后赶到，将小伙送到医院，所幸其身体无大碍。事后，陈师傅谢绝了小伙家人的红包，“做好事是应该的！”司机功德无量good救人瞬间
1697792402# #自己会开车后才知道的真相【与死神擦肩而过！司机路边帮抱婴儿下一秒车被撞飞汗】10月7日，贵州三穗县，网约车司机帮抱婴儿乘客下行李，不料下一秒一辆出租车撞上停在路边的网约车，当时网约车上还有两名乘客，事故造成了车上两人轻微受伤。经查，出租车驾驶员贾某过度疲劳，仍继续驾驶机动车撞
1687694402# #网友投稿：大家觉得视频车这种不文明行为是否应该道歉？费解蜀黍说安全
1702290851# #男子衣服上挂内裤骑车去上班大哥，你现在一点面子都没有了允悲蜀黍说安全
1698723762# #网友投稿：以为道具赛，吃金币呢？汗蜀黍说安全
1692705603# #网友投稿：小孩在车内玩闹，一头就把挡风玻璃顶碎了，你觉得车内有必要配儿童安全座椅吗？衰蜀黍说安全七夕快乐七夕
1697497200# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1700973000# #网友投稿：又菜又爱玩系列，特斯拉超车后没刹住。你觉得这是谁的问题？
1694243920# #驾照考试科目一考考你：这是什么交通标志？费解蜀黍说安全
1693470464# #驾照考试科目一考考你：该路段电动车可以通行吗？费解蜀黍说安全
1691852401# #网友投稿：这么淡定，是梁静茹的表哥吗？费解蜀黍说安全
1690515870# #烟台狂风暴雨敢出去救人的两位大哥7月25日山东烟台，突然狂风暴雨。多人被吹倒，紧急关头，两名男子冲进瓢泼大雨中，顶着九级大风，将一对母女子救进屋里…为勇敢出去救人的两位大哥点赞致敬good蜀黍说安全
1695700801# #虽然很难，但是他这波操作真的不错！赞赞赞救人瞬间正能量
1691568001# #网友投稿：电动车与大货抢道，万幸死里逃生！这事故赖谁呢？费解蜀黍说安全
1693288801# #网友投稿：拉链式通行，理想车主抢行后追尾。。。结局舒适吗？允悲蜀黍说安全
1696563001# #一幼童不慎掉入高铁站台的缝隙当中，一名年轻女孩自告奋勇不顾危险钻入缝隙中，将幼童托举救出。姑娘好样的赞赞赞救人瞬间正能量蜀黍说安全
1697954400# #家长带着孩子横穿马路，太危险了。司机有责任吗？费解蜀黍说安全
1702353601# #一起来投票女子骑车横穿双黄线被撞翻，交警：标准“鬼探头”判全责。网友点赞:沒耍太极，好蜀黍good蜀黍说安全
1690452804# #驾照考试科目一考考你：下图交通标志是什么含义？费解蜀黍说安全
1701500401# #跳冰窟窿救人的长春大哥找到了！他谢绝了孩子奶奶的酬金，只收下一瓶饮料，曾在部队服役16年。咱当兵的人就是不一样，致敬老兵good救人瞬间正能量
1700657256# #网友投稿：出租车司机与前车路怒斗气，上学时没学好物理，完事还摔自己俩杯子，血亏doge蜀黍说安全
1700894763# #允悲
1700623801# #11月20日，吉林长春。男子遇女子人肉占车位，男子也不与其争执，直接把车开到车位旁然后进屋等，最终女子在寒风中站了半小时后无奈离开……允悲蜀黍说安全（月亮湖视频）
1698640201# #女子越实线连续变道，甚至还摇下车窗辱骂后车。遇到这种车主你认为应该让行吗？费解蜀黍说安全
1700208001# #【太棒了！5岁女孩霸气拦警车救生病老爷爷good】近日，湖北襄阳，一位老人冠心病发作，身体不适坐在路边。此时，一名5岁的小女孩看到老爷爷神情不对，拉着妈妈上前查看。就在妈妈询问过程中，小女孩看到了不远处的警车，随即走到路边，霸气拦下了警车。民警立即下车了解情况，并将老人扶上警车送医
1691847843# #网友投稿：估计女司机出了事故，对方叫她赔钱她不肯，结果对方就报警了。开始一直不配合，最后呼气涉嫌醉驾。费解蜀黍说安全
1689507001# #网友投稿：有钱任性，这女的叫的挺嗨啊费解蜀黍说安全
1702735200# #用生命在科普！万一掉入冰窟窿这样自救！希望永远用不到，但一定要知道！good蜀黍说安全
1693661400# #行人高速上被撞身亡负全责，保险公司向其亲属追偿汽车维修费用。法院：驳回保险公司的诉讼请求。你认为保险公司的起诉要求合理吗？费解蜀黍说安全
1691742148# #【投票：你每天玩手机有多久？费解】大家都觉得时间变短了，是手机惹的祸吗？雷军在采访中表示：“我们家正好是卖手机的，不过我也建议大家少刷手机，多出门走走，见见朋友，看看风景，挺好的。”你现在一般在手机上花多少时间？愿意放下手机多出门走走吗？雷军建议大家少刷手机
1695130200# #太危险了！发生事故后未放三脚架，人也没撤离！视频车与路中间7人擦肩而过！衰蜀黍说安全
1702458001# #你认为这事故谁的责任更大？衰蜀黍说安全
1703233800# #无人机在路上被压坏了，车主该赔偿吗？汗蜀黍说安全冬至
1697949166# #兰博基尼被踩车主称不和解15岁少年踩豪车炫耀致车损超17万，警方找到涉事三人车主拒绝和解。你支持车主的做法吗？good蜀黍说安全
1695686400# #请您停留1秒钟，为伟大的科学家点赞赞赞赞。程开甲是中国核武器研究的开创者之一，在核武器的研制和试验中作出突出贡献。被国家授予“两弹一星功勋奖章”，2013年获国家最高科学技术奖。。”中国核司令”程开甲，一生为国铸盾！苦干惊天动地事，甘做隐姓埋名人。我们缅怀他，向他老人家致敬！这才
1690196402# #丹东出租车围堵网约车，乘客带小孩被迫下车，结果坐出租车十几块钱走不了。出租车有权截停网约车吗？费解蜀黍说安全
1701334800# #网友投稿：白色小车实现强行变道，视频车可不惯着你。衰蜀黍说安全
1691969401# #网友投稿：女子这一脚踢的解气！费解蜀黍说安全
1702195202# #安全生产切莫大意，这工人师傅情况还好吗？黑线蜀黍说安全
1702191600# #黑人小伙被查出酒驾，吐出嘴里面包就恢复正常。允悲蜀黍说安全
1702890001# #福建福州，男子被压三轮车车底，路过众人见状纷纷上前抬车救人。不少网友表示，参与救人的人群中，外卖小哥的身影特别耀眼，几乎每次遇到危险都有他们的身影。赞赞赞正能量救人瞬间蜀黍说安全
1699088400# #完全没防备，这种鬼探头谁能躲得开？费解蜀黍说安全
1693750186# #码了～
1693960202# #网友投稿：这责任怎么算啊，他撞上来的。费解蜀黍说安全
1688740801# #交警例行查酒驾：你们可以录、可以看我们执法，只要别掐头去尾……网友:网络喷子太多了！谁都怕！坚持做一个守法好公民！good蜀黍说安全
1687614794# #码了～
1693027801# #这是一位摩友分享的视频，他骑在路上看到前方的罐车轮胎冒烟，于是迅速上前提醒，最终避免了潜在的交通事故！这才是真骑士精神！good蜀黍说安全
1690956002# #公交车遇积水司机不愿涉险，乘客表示电动车都过去了，司机的胆子太小了。费解蜀黍说安全村民称很多人没把泄洪通知当回事北京本次降雨为140年来最大降雨
1694151001# #网友投稿：深圳龙岗暴雨，外卖小哥坚持雨中送餐。暴雨天你还会点餐吗？费解深圳暴雨现场画面深圳泄洪
